x,y,heigth
0,0,10
0,1,9
0,2,7
0,10,4
0,11,4
0,12,8
0,13,5
0,16,8
0,17,11
0,18,8
0,19,9
0,20,9
0,28,9
0,29,5
0,31,11
0,32,10
0,35,13
0,36,11
0,37,12
0,38,12
0,39,10
0,40,13
0,41,13
0,42,10
0,43,7
0,48,10
0,49,10
0,50,8
0,55,9
0,56,7
0,62,9
0,63,9
0,64,10
0,65,9
0,66,10
0,67,9
0,68,7
0,69,8
0,75,4
0,76,4
0,78,7
0,79,7
0,80,7
0,81,7
0,82,7
0,83,7
0,84,8
0,85,8
0,86,8
0,87,11
0,92,4
0,96,8
0,97,4
0,98,12
0,99,10
0,101,8
0,102,9
0,103,4
0,105,7
0,112,4
0,113,9
0,114,8
0,115,8
0,116,8
0,117,8
0,118,9
0,119,7
0,120,4
0,121,4
0,122,8
0,123,4
0,126,8
0,127,4
1,0,8
1,1,9
1,2,5
1,8,7
1,12,4
1,13,5
1,14,5
1,15,9
1,16,8
1,17,10
1,18,7
1,23,11
1,24,10
1,25,9
1,26,7
1,28,9
1,29,9
1,31,10
1,32,11
1,33,11
1,35,11
1,36,11
1,37,9
1,38,12
1,39,13
1,41,13
1,42,11
1,43,10
1,44,7
1,49,9
1,50,11
1,59,8
1,60,10
1,61,9
1,62,11
1,63,11
1,64,7
1,65,8
1,66,10
1,67,10
1,68,7
1,69,7
1,77,4
1,78,7
1,79,8
1,80,8
1,81,10
1,82,8
1,83,8
1,84,9
1,98,9
1,99,11
1,100,8
1,102,9
1,104,4
1,105,9
1,106,8
1,112,9
1,113,8
1,114,8
1,115,4
1,116,4
1,126,4
2,0,8
2,1,10
2,2,9
2,5,4
2,6,8
2,7,9
2,8,7
2,11,4
2,12,4
2,13,4
2,14,7
2,15,8
2,16,7
2,22,12
2,23,11
2,24,12
2,25,7
2,26,7
2,29,5
2,30,4
2,31,4
2,32,11
2,33,11
2,35,10
2,36,13
2,37,12
2,38,12
2,39,11
2,40,13
2,42,13
2,43,11
2,44,9
2,49,10
2,50,11
2,51,10
2,57,5
2,58,9
2,59,12
2,60,11
2,61,9
2,62,10
2,63,11
2,64,7
2,65,7
2,66,8
2,67,9
2,68,9
2,69,7
2,75,7
2,76,8
2,77,9
2,78,8
2,79,8
2,80,7
2,81,8
2,82,11
2,86,5
2,96,9
2,102,9
2,105,10
2,106,9
2,112,4
2,114,4
2,115,7
2,116,4
2,121,9
2,122,5
2,123,7
2,124,12
2,125,8
3,0,11
3,1,10
3,2,10
3,3,5
3,4,7
3,5,8
3,6,7
3,7,8
3,8,4
3,12,7
3,14,5
3,22,12
3,23,11
3,24,10
3,25,4
3,26,7
3,27,8
3,30,9
3,31,4
3,32,8
3,33,12
3,34,4
3,36,12
3,37,13
3,38,9
3,39,10
3,40,11
3,42,13
3,43,13
3,44,11
3,45,8
3,50,11
3,51,11
3,56,9
3,57,5
3,58,7
3,59,9
3,60,12
3,61,8
3,62,9
3,63,11
3,64,9
3,65,8
3,66,9
3,67,8
3,68,8
3,69,7
3,70,8
3,75,8
3,76,11
3,77,11
3,78,8
3,83,4
3,84,12
3,85,12
3,86,11
3,87,7
3,92,10
3,93,11
3,94,4
3,102,9
3,103,5
3,105,8
3,106,8
3,113,5
3,114,10
3,115,12
3,116,13
3,117,7
3,118,8
3,119,9
3,120,9
3,121,9
4,0,8
4,1,8
4,2,9
4,3,10
4,4,4
4,5,4
4,6,4
4,7,4
4,8,4
4,9,8
4,12,4
4,19,11
4,20,9
4,23,12
4,24,11
4,25,5
4,26,4
4,27,9
4,28,9
4,30,9
4,31,4
4,33,11
4,34,11
4,37,11
4,38,11
4,39,7
4,40,11
4,41,12
4,43,13
4,44,11
4,45,9
4,50,4
4,51,12
4,52,10
4,60,9
4,61,10
4,62,11
4,63,11
4,64,11
4,65,8
4,66,8
4,67,8
4,68,8
4,69,7
4,70,8
4,81,4
4,82,4
4,83,5
4,84,12
4,85,12
4,86,11
4,87,7
4,92,10
4,93,12
4,97,4
4,98,7
4,99,5
4,100,11
4,103,10
4,104,4
4,105,7
4,106,9
4,107,5
4,113,12
4,114,13
4,115,11
4,116,12
4,117,8
4,118,9
4,125,4
4,126,7
4,127,7
5,0,9
5,1,10
5,2,8
5,3,9
5,6,10
5,7,9
5,8,7
5,9,8
5,18,5
5,19,11
5,20,12
5,23,11
5,24,11
5,25,5
5,27,10
5,28,9
5,30,4
5,31,4
5,33,5
5,34,11
5,37,12
5,38,12
5,39,11
5,40,9
5,41,12
5,42,9
5,43,13
5,44,14
5,45,11
5,46,9
5,50,4
5,51,12
5,52,11
5,60,10
5,61,12
5,62,10
5,63,11
5,64,11
5,65,9
5,66,9
5,67,10
5,68,8
5,69,8
5,70,10
5,78,9
5,79,10
5,80,12
5,81,8
5,82,8
5,83,7
5,84,11
5,85,11
5,86,11
5,87,7
5,92,11
5,93,11
5,94,7
5,97,10
5,98,5
5,99,19
5,100,17
5,101,11
5,103,8
5,104,4
5,105,4
5,106,8
5,107,10
5,121,7
5,122,10
5,123,9
5,124,9
6,0,9
6,1,8
6,6,11
6,7,9
6,15,7
6,16,5
6,17,4
6,18,7
6,19,12
6,20,12
6,21,9
6,23,13
6,24,12
6,25,7
6,31,9
6,32,9
6,34,11
6,35,10
6,38,12
6,39,12
6,40,8
6,41,13
6,42,12
6,45,11
6,46,10
6,47,7
6,51,4
6,56,4
6,57,5
6,58,10
6,59,10
6,60,8
6,61,7
6,62,9
6,63,10
6,64,10
6,65,9
6,66,8
6,67,9
6,68,5
6,77,8
6,78,9
6,79,9
6,80,11
6,81,9
6,82,9
6,83,7
6,84,4
