x,y,heigth
0,4,9
0,5,9
0,6,4
0,10,4
0,11,13
0,12,15
0,13,14
0,14,12
0,15,8
0,16,7
0,17,11
0,18,12
0,19,11
0,20,10
0,21,9
0,23,11
0,24,12
0,25,10
0,26,7
0,32,4
0,33,12
0,34,12
0,37,13
0,38,8
0,39,11
0,40,12
0,41,9
0,44,5
0,50,8
0,51,5
0,52,10
0,54,13
0,55,4
0,60,4
0,61,11
0,62,8
0,64,9
0,66,9
0,68,12
0,69,11
0,70,8
0,78,4
0,79,9
0,80,8
0,81,8
0,86,4
0,87,7
0,88,7
0,89,5
0,90,7
0,91,10
0,92,10
0,93,7
0,104,4
0,105,8
0,113,11
0,114,10
0,115,11
0,116,11
1,2,8
1,3,9
1,4,9
1,9,4
1,10,12
1,11,16
1,12,17
1,13,17
1,17,5
1,18,10
1,19,7
1,22,9
1,23,8
1,24,8
1,25,10
1,26,9
1,32,8
1,33,12
1,34,11
1,37,14
1,38,12
1,39,13
1,40,15
1,41,7
1,44,11
1,50,7
1,51,9
1,52,4
1,53,9
1,54,11
1,55,9
1,60,7
1,61,11
1,62,12
1,66,12
1,67,7
1,68,8
1,78,9
1,85,7
1,91,7
1,98,4
1,99,9
1,100,10
1,103,9
1,104,12
1,105,8
1,112,11
1,113,12
2,2,8
2,3,9
2,4,5
2,8,4
2,9,14
2,10,14
2,11,11
2,12,16
2,13,17
2,14,13
2,16,8
2,17,8
2,18,8
2,19,9
2,22,9
2,23,9
2,24,8
2,25,10
2,26,10
2,44,13
2,45,9
2,46,9
2,47,4
2,51,11
2,52,9
2,53,5
2,54,12
2,55,11
2,61,10
2,62,12
2,63,11
2,70,7
2,82,10
2,83,10
2,97,7
2,98,8
2,99,9
2,100,11
2,103,8
2,104,11
2,105,7
2,109,10
2,110,9
2,111,9
2,112,10
2,113,12
2,120,7
3,1,8
3,3,10
3,4,5
3,6,5
3,7,16
3,8,15
3,9,15
3,10,8
3,11,8
3,12,13
3,13,17
3,14,15
3,15,10
3,16,12
3,17,12
3,18,8
3,19,9
3,44,12
3,45,12
3,46,10
3,47,12
3,48,9
3,49,9
3,50,10
3,51,10
3,52,11
3,53,4
3,54,7
3,55,12
3,56,11
3,57,5
3,61,9
3,62,12
3,63,11
3,69,4
3,70,11
3,71,9
3,78,4
3,79,7
3,81,10
3,82,10
3,83,4
3,97,8
3,98,10
3,99,9
3,100,10
3,101,9
3,102,8
3,103,10
3,104,8
3,105,4
3,109,9
3,110,8
3,111,12
3,112,10
3,113,10
3,120,5
3,121,4
4,0,7
4,4,10
4,5,9
4,6,13
