x,y,height
0,106,4
0,107,4
0,119,8
0,120,7
0,121,7
0,124,8
0,125,7
1,13,5
1,120,8
1,121,7
1,124,8
1,125,4
2,12,4
2,13,5
2,117,7
2,118,5
2,120,9
2,121,9
2,124,8
3,12,4
3,13,6
3,14,8
3,15,7
3,16,7
3,117,5
3,118,8
3,120,8
3,121,7
3,124,8
3,125,5
4,13,7
4,14,8
4,15,7
4,16,7
4,17,8
4,22,9
4,120,8
4,121,9
4,123,9
4,124,7
5,22,8
5,102,4
5,103,5
5,104,4
5,112,8
5,120,7
5,123,8
5,124,8
6,100,7
6,101,4
6,102,9
6,103,8
6,104,5
6,105,9
6,106,8
6,107,9
6,108,8
6,109,7
6,110,8
6,111,8
6,112,7
6,113,8
6,114,8
6,115,9
6,117,7
6,118,4
6,119,8
6,120,8
6,123,4
6,124,7
6,125,4
7,100,8
7,101,8
7,102,7
7,115,8
7,117,7
7,118,8
7,119,8
7,120,8
7,123,7
7,124,7
7,125,4
8,100,7
8,101,4
8,107,8
8,108,4
8,110,8
8,111,8
8,112,4
8,123,7
8,124,5
9,100,8
9,103,9
9,104,5
9,106,9
9,107,8
9,108,7
9,110,8
9,111,7
9,112,7
9,113,4
9,116,8
9,117,4
9,118,7
9,119,7
9,122,7
9,123,7
10,100,7
10,103,9
10,104,8
10,105,4
10,106,5
10,107,8
10,108,9
10,110,5
10,111,8
10,112,8
10,113,8
10,114,9
10,115,8
10,116,8
10,117,7
10,118,7
10,119,8
10,122,7
10,123,7
11,100,9
11,103,7
11,104,9
11,105,4
11,106,7
11,107,4
11,116,4
11,119,8
11,122,9
11,123,9
12,100,8
12,103,5
12,104,8
12,106,4
12,107,9
12,110,8
12,119,8
12,121,5
12,122,8
13,100,7
13,103,9
13,104,9
13,106,7
13,107,8
13,110,9
13,118,4
13,119,8
13,121,8
13,122,8
14,99,5
14,100,7
14,103,7
14,104,9
14,106,7
14,107,8
14,110,8
14,118,10
14,119,8
14,121,7
14,122,7
15,100,9
15,103,8
15,104,8
15,106,9
15,107,8
15,109,7
15,110,8
15,118,10
15,119,8
15,121,7
15,122,8
16,99,7
16,100,9
16,103,8
16,104,7
16,106,7
16,109,7
16,110,7
16,118,7
16,121,7
16,122,9
17,103,7
17,104,7
17,106,8
17,107,7
17,109,9
17,118,8
17,121,8
17,122,8
18,97,8
18,104,8
18,106,9
18,107,7
18,109,9
18,118,8
18,121,8
18,122,5
19,97,4
19,106,9
19,109,8
19,118,9
19,121,8
20,97,4
20,98,5
20,99,4
20,104,8
20,105,8
20,106,9
20,109,11
20,118,7
20,121,8
20,127,4
21,105,7
21,106,9
21,109,9
21,117,5
21,118,8
21,121,9
21,126,4
21,127,5
22,94,4
22,95,9
22,99,5
22,108,7
22,109,8
22,110,4
22,117,8
22,118,7
22,126,4
22,127,9
23,26,4
23,27,4
23,95,8
23,96,8
23,99,5
23,108,9
23,109,8
23,117,8
23,126,4
24,26,8
24,27,7
24,96,9
24,101,7
24,102,5
24,117,9
24,119,4
25,18,4
25,19,5
25,26,10
25,27,4
25,96,8
25,102,5
25,109,4
25,116,8
25,117,8
25,118,5
25,119,4
25,122,5
26,26,8
26,27,4
26,96,7
26,97,8
26,109,4
26,118,8
26,121,7
26,122,7
26,127,4
27,26,7
27,27,4
27,97,7
27,98,7
27,109,8
27,110,8
27,114,4
27,115,8
27,116,9
27,120,5
27,121,7
28,98,8
28,99,8
28,105,7
28,109,8
28,110,8
28,115,9
28,116,7
28,121,4
28,127,9
29,98,10
29,99,8
29,105,9
29,106,4
29,107,5
29,115,7
29,116,7
30,100,7
30,101,8
30,105,4
30,106,11
30,107,11
30,108,5
30,114,8
30,115,4
31,100,5
31,101,8
31,102,9
31,105,5
31,106,11
31,107,11
31,112,9
31,113,10
31,114,8
31,115,4
32,28,12
32,29,4
32,100,8
32,101,8
32,102,9
32,106,4
32,112,10
32,113,11
32,114,11
32,125,4
33,28,11
33,29,4
33,112,8
33,113,8
33,117,7
33,125,8
33,126,5
34,28,10
34,29,5
34,112,4
34,116,4
34,117,4
35,28,11
35,29,8
35,98,8
35,99,8
35,103,9
35,104,8
35,107,11
35,108,8
35,111,4
35,116,10
35,117,10
35,124,4
36,28,10
36,29,10
36,30,4
36,98,5
36,99,8
36,103,9
36,104,9
36,110,8
36,113,5
36,117,9
36,120,4
37,28,11
37,29,8
37,30,4
37,104,7
37,105,9
37,107,4
38,104,10
38,105,11
38,109,4
38,112,11
38,119,10
38,120,9
39,104,8
39,105,7
39,109,7
39,112,14
39,119,11
39,120,10
39,123,10
39,124,9
40,29,11
40,105,9
40,112,12
40,119,7
40,123,11
40,124,11
41,29,4
41,30,4
41,105,8
41,106,9
41,108,5
41,111,9
41,112,10
41,118,5
41,119,5
41,123,4
41,124,4
42,29,9
42,30,7
42,105,7
42,106,9
42,109,10
42,112,9
42,115,4
42,118,7
42,119,4
42,124,4
