x,y,height
0,22,11
0,33,12
0,34,16
1,23,14
1,32,8
1,33,11
1,34,10
1,81,8
1,82,4
2,22,12
2,23,15
2,24,10
2,82,4
3,22,12
3,23,14
3,24,14
3,25,4
3,31,4
3,32,11
3,33,12
3,34,11
3,35,17
3,84,7
4,23,13
4,24,11
4,25,7
4,26,11
4,31,14
4,32,12
4,33,12
4,34,11
4,35,18
4,36,18
4,37,4
4,59,8
4,71,7
4,79,8
4,80,5
5,24,16
5,25,14
5,26,11
5,27,11
5,28,12
5,29,7
5,30,11
5,31,11
5,32,11
5,33,10
5,34,10
5,35,11
5,36,12
5,37,7
5,55,10
5,56,11
5,59,10
5,71,8
5,79,12
5,80,12
6,24,12
6,25,14
6,26,11
6,27,10
6,28,11
6,29,10
6,30,10
6,31,11
6,32,10
6,33,10
6,34,8
6,35,7
6,59,10
6,60,10
6,72,7
6,79,12
6,80,12
6,105,7
6,106,4
7,24,11
7,25,15
7,26,7
7,27,9
7,28,10
7,29,10
7,30,12
7,31,12
7,32,9
7,35,7
7,59,5
7,60,4
7,72,11
7,73,7
7,79,5
7,80,9
7,89,8
7,90,4
7,104,11
7,105,12
7,106,9
8,25,8
8,27,8
8,28,8
8,29,8
8,30,10
8,31,8
8,34,4
8,35,8
8,36,8
8,43,7
8,44,7
8,56,4
8,59,4
8,71,4
8,72,7
8,80,8
8,90,4
8,103,4
8,104,11
8,105,6
8,106,6
9,25,10
9,26,4
9,29,7
9,30,7
9,35,4
9,36,7
9,43,4
9,44,8
9,56,6
9,57,5
9,80,12
9,81,10
9,104,9
9,105,4
9,106,5
9,107,5
10,29,4
10,43,4
10,44,7
10,61,9
10,72,4
10,73,8
10,80,11
10,81,9
10,105,5
10,106,6
10,107,5
10,108,5
10,111,12
10,112,10
11,44,8
11,61,8
11,80,9
11,81,8
11,106,10
11,107,4
11,108,6
11,109,6
11,111,12
11,112,10
11,113,10
12,44,5
12,45,11
12,61,7
12,62,7
12,69,9
12,70,8
12,75,9
12,76,9
12,81,9
12,82,4
12,106,8
12,108,4
12,111,11
12,112,10
12,113,21
12,114,11
13,45,12
13,57,4
13,62,11
13,70,12
13,71,7
13,72,7
13,81,10
13,82,9
13,94,5
