x,y,heigth
0,1,13
0,2,15
0,7,9
0,8,8
0,9,9
0,11,8
0,12,9
0,13,8
0,45,8
0,46,9
0,47,8
0,48,8
0,49,7
0,50,4
1,2,11
1,3,11
1,4,12
1,8,8
1,9,9
1,10,10
1,11,3
1,12,11
1,13,9
1,14,7
1,21,8
1,45,10
1,46,9
1,47,9
1,48,8
1,49,8
1,50,5
1,73,4
1,74,4
1,78,4
2,0,11
2,2,13
2,3,13
2,4,10
2,5,3
2,9,10
2,12,11
2,13,11
2,14,8
2,26,8
2,27,8
2,32,12
2,44,9
2,45,8
2,46,7
2,47,4
2,77,8
2,78,7
2,79,4
2,88,12
3,0,3
3,1,12
3,3,13
3,4,16
3,5,13
3,6,10
3,9,9
3,10,9
3,11,9
3,13,12
3,14,12
3,15,11
3,26,7
3,27,8
3,28,9
3,29,9
3,32,9
3,33,12
3,46,4
3,59,5
3,60,7
3,61,4
3,77,8
3,78,7
3,79,6
3,88,13
3,89,11
4,1,11
4,2,11
4,5,12
4,6,13
4,7,10
4,11,10
4,12,9
4,13,9
4,14,3
4,15,12
4,16,12
4,28,8
4,29,7
4,30,8
4,33,14
4,36,10
4,37,10
4,39,7
4,41,4
4,58,7
4,59,9
4,60,9
4,61,4
4,88,11
4,89,12
5,2,10
5,3,12
5,4,3
5,6,9
5,7,11
5,8,12
5,9,3
5,12,7
5,13,9
5,14,8
5,16,3
5,17,13
5,30,9
5,33,16
5,36,10
5,37,8
5,38,9
5,40,4
5,41,8
5,42,9
5,44,4
5,45,4
5,55,4
5,56,7
5,57,7
5,58,9
5,66,7
5,67,7
5,80,20
5,81,19
5,82,11
5,88,11
5,89,13
6,3,7
6,4,11
6,5,11
6,6,3
6,8,12
6,9,11
6,10,15
6,11,3
6,13,6
6,14,9
6,15,10
6,17,10
6,18,12
6,19,11
6,31,8
6,32,8
6,34,9
6,35,10
6,40,10
6,41,9
6,44,8
6,45,4
6,53,8
6,54,9
6,55,9
6,56,7
6,65,7
6,66,9
6,67,7
6,79,15
6,80,14
6,81,16
6,82,18
6,88,11
6,89,12
6,101,12
6,102,11
6,107,12
6,111,12
6,112,12
6,113,12
7,5,3
7,6,11
7,7,11
7,8,3
7,9,3
7,10,15
7,11,15
7,12,11
7,15,9
7,16,8
7,17,7
7,18,8
7,19,11
7,20,9
7,34,8
7,35,8
7,37,8
7,44,9
7,45,9
7,46,7
7,51,9
7,52,7
7,53,7
7,54,9
7,63,7
7,64,4
7,65,9
7,76,18
7,77,18
7,78,17
7,79,15
7,80,15
7,81,15
7,89,12
7,97,12
7,98,11
7,101,12
7,102,13
7,106,11
7,107,13
7,111,11
7,112,11
7,113,13
8,7,11
8,8,7
8,9,3
8,11,15
8,12,11
8,13,7
8,14,3
8,16,10
8,17,9
8,20,9
8,21,8
8,29,8
8,30,7
8,38,9
8,39,5
8,40,9
8,50,7
8,51,7
8,52,7
8,53,8
8,54,5
8,74,7
8,75,16
8,76,16
8,77,14
8,78,15
8,79,16
8,92,11
8,97,11
8,98,12
8,101,12
8,102,12
8,106,12
8,107,12
8,112,13
9,8,12
9,9,11
9,10,8
9,13,11
9,14,7
9,15,3
9,18,8
9,19,7
9,21,9
9,22,8
9,33,6
9,38,9
9,39,8
9,40,8
9,49,8
9,50,8
9,51,8
9,52,8
9,74,4
9,75,15
9,76,19
9,77,15
9,83,9
9,92,11
9,93,11
9,98,11
9,107,12
9,118,16
