x,y,height
0,10,5
0,12,4
0,13,8
0,14,4
0,15,10
0,16,9
0,17,4
0,18,9
0,19,10
0,20,9
0,21,8
0,22,4
0,23,8
0,24,10
0,25,7
0,26,7
0,28,7
0,29,9
0,30,9
0,32,11
0,33,11
0,79,5
0,83,9
1,20,7
1,21,4
1,23,8
1,24,4
1,28,7
1,29,9
1,30,9
1,32,11
1,33,11
1,79,4
1,80,10
1,83,7
1,84,10
2,31,8
2,32,7
2,80,8
2,82,9
2,83,9
3,80,7
3,83,11
3,84,7
4,51,8
4,52,9
4,82,4
4,83,10
4,84,8
6,36,11
6,37,8
7,32,12
7,33,7
7,36,11
7,37,9
7,45,6
7,46,6
8,31,10
8,32,10
8,33,10
8,34,8
8,36,4
8,45,8
8,46,7
8,88,8
8,89,4
9,31,10
9,32,10
9,33,5
9,34,8
9,35,4
9,78,8
9,79,7
9,82,9
9,88,7
10,67,8
10,75,7
10,76,7
10,81,4
10,82,9
10,88,8
10,91,8
11,67,6
11,70,8
11,71,7
11,72,7
11,75,8
11,76,7
11,82,7
11,83,6
11,88,7
12,20,10
12,21,10
12,22,8
12,31,4
12,34,10
12,35,7
12,70,6
12,71,6
12,72,6
13,20,10
13,21,9
13,22,8
13,23,8
13,33,5
13,34,9
13,35,11
13,36,4
13,81,7
13,82,6
13,93,6
14,93,9
15,31,4
15,32,4
15,33,7
15,36,5
15,37,7
15,83,6
15,90,8
15,93,6
16,31,4
16,32,9
16,33,8
16,83,8
16,90,8
16,91,6
16,93,7
16,94,7
17,33,6
17,83,9
17,84,8
17,91,7
18,25,12
18,26,18
18,83,7
18,84,9
19,25,17
19,26,16
19,27,12
19,28,12
19,35,7
19,36,7
19,37,8
19,38,9
20,25,19
20,26,11
20,27,5
20,35,10
20,36,8
20,37,8
20,38,4
20,83,8
20,86,7
21,35,4
21,83,8
22,82,5
22,83,9
23,82,5
31,1,4
31,2,9
31,3,8
56,14,8
57,13,4
57,14,6
118,30,7
119,26,4
119,27,7
120,27,6
121,53,4
122,53,7
122,54,4
123,53,7
123,54,5
