x,y,heigth
0,117,15
0,123,4
0,124,5
0,127,7
1,115,4
1,118,4
1,122,4
1,123,7
1,124,12
1,125,12
1,126,10
1,127,10
2,110,4
2,111,7
2,112,8
2,113,7
2,114,8
2,115,7
2,116,4
2,118,4
2,123,8
2,124,13
2,125,13
2,126,8
2,127,9
3,107,4
3,108,9
3,109,7
3,110,7
3,111,7
3,112,8
3,113,8
3,114,7
3,115,5
3,123,4
3,124,9
3,125,12
3,126,9
3,127,10
4,103,5
4,104,4
4,106,4
4,107,7
4,108,8
4,109,8
4,110,8
4,111,7
4,123,4
4,124,7
4,125,11
4,126,11
4,127,11
5,72,4
5,101,4
5,102,9
5,103,8
5,104,7
5,105,4
5,107,8
5,120,4
5,121,4
5,125,12
5,126,11
5,127,11
6,73,4
6,74,7
6,75,7
6,76,7
6,96,5
6,97,5
6,98,4
6,99,7
6,100,8
6,101,4
6,102,8
6,103,9
6,104,4
6,112,5
6,113,7
6,114,4
6,115,7
6,116,4
6,117,4
6,118,14
6,119,12
6,120,13
6,121,4
6,125,9
6,126,13
6,127,10
7,74,8
7,75,9
7,76,8
7,77,9
7,78,7
7,94,4
7,95,4
7,96,11
7,97,11
7,98,8
7,99,8
7,100,8
7,101,4
7,107,10
7,108,12
7,109,10
7,110,5
7,111,7
7,112,9
7,113,7
7,115,7
7,116,5
7,117,12
7,118,12
7,119,13
7,120,14
7,121,4
7,125,4
7,126,10
7,127,8
8,12,9
8,69,9
8,70,8
8,77,9
8,78,9
8,92,8
8,93,11
8,94,9
8,95,8
8,96,8
8,98,9
8,105,10
8,106,10
8,107,8
8,108,10
8,109,10
8,110,4
8,112,7
8,116,4
8,117,5
8,127,4
9,12,11
9,70,10
9,71,9
9,72,9
9,73,10
9,78,7
9,80,4
9,88,5
9,89,7
9,90,4
9,91,4
9,92,8
9,93,8
9,94,7
9,101,4
9,102,9
9,103,8
9,106,9
9,107,5
9,108,4
9,109,4
10,12,11
10,13,11
10,14,11
10,15,11
10,16,12
10,17,7
10,73,10
10,81,10
10,87,7
10,88,9
10,89,8
10,90,8
10,91,8
10,92,5
10,97,4
10,98,7
10,100,4
10,101,5
10,102,7
10,103,8
10,116,4
10,117,4
10,118,4
11,12,11
11,13,12
11,14,10
11,15,10
11,16,12
11,17,11
11,74,10
11,75,9
11,76,4
11,80,9
11,81,8
11,87,5
11,88,9
11,90,7
11,96,9
11,97,7
11,98,4
11,103,5
11,108,8
11,114,5
11,115,9
11,116,9
11,122,7
12,13,10
12,14,11
12,15,9
12,17,7
12,75,9
12,76,5
12,77,4
12,84,4
12,85,8
12,92,9
12,93,7
12,94,8
12,95,10
12,96,9
12,102,7
12,103,8
12,112,7
12,113,9
12,114,9
12,115,9
12,116,4
12,121,11
12,122,13
12,123,4
13,14,4
13,76,9
13,77,8
13,81,10
13,82,9
13,83,4
13,85,7
13,89,10
13,90,4
13,91,9
13,92,8
13,93,8
13,94,9
13,102,4
13,103,4
13,111,8
13,112,9
13,113,7
13,114,4
13,119,4
13,120,4
13,121,10
13,122,14
13,123,12
14,14,7
14,77,8
14,78,9
14,81,10
14,82,10
14,87,4
14,88,9
14,89,9
14,90,10
14,91,4
14,98,4
14,108,9
14,110,7
14,111,7
14,112,4
14,117,9
14,118,7
14,119,9
14,120,4
14,122,12
14,123,14
14,124,7
15,14,7
15,86,4
15,88,4
15,96,4
15,97,9
15,98,8
15,99,8
15,100,7
15,105,8
15,115,8
15,116,8
15,117,8
15,118,9
15,122,10
15,123,13
15,124,7
15,125,4
16,14,9
16,15,4
16,79,9
16,86,4
16,95,8
16,96,8
16,97,9
16,102,7
16,103,5
16,104,8
16,105,7
16,113,8
16,114,8
16,115,8
16,119,4
16,120,5
16,123,11
16,124,10
17,2,7
17,13,8
17,14,12
17,15,8
17,77,4
17,79,9
17,84,4
17,93,4
17,94,9
17,95,8
17,96,4
17,102,4
17,105,4
17,106,4
17,111,9
17,112,7
17,113,8
17,114,8
17,118,4
17,119,7
17,120,8
17,121,8
18,1,4
18,2,7
18,12,4
18,13,5
18,14,11
18,15,4
18,76,5
18,77,7
18,84,4
18,85,8
18,86,7
18,92,7
18,93,9
18,94,8
18,95,8
18,104,4
18,109,4
18,110,7
18,111,11
18,112,11
18,117,9
18,118,7
18,119,7
18,125,9
18,126,4
19,1,4
19,13,11
19,14,10
19,80,4
19,85,10
19,86,7
19,91,4
19,92,8
19,93,8
19,94,5
19,99,9
19,100,8
19,102,5
19,103,11
19,104,8
19,108,5
19,109,7
19,110,8
19,111,8
19,115,9
19,116,8
19,117,9
19,118,4
19,123,8
19,124,8
19,125,7
19,126,8
20,0,9
20,1,9
20,13,8
20,14,12
20,79,8
20,80,7
20,85,7
20,86,4
20,88,11
20,89,10
20,91,8
20,92,4
20,96,4
20,97,5
20,98,8
20,102,11
20,103,12
20,104,7
20,107,7
20,108,9
20,109,9
20,110,7
20,114,9
20,115,8
20,116,9
20,121,7
20,122,7
20,123,7
20,124,4
21,0,8
21,3,4
21,4,4
21,5,4
21,6,4
21,10,4
21,13,8
21,14,5
21,79,8
21,86,5
21,87,4
21,88,11
21,89,9
21,95,4
21,96,7
21,97,5
21,101,4
21,102,10
21,103,10
21,106,7
21,107,8
21,108,8
21,109,8
21,118,4
21,119,7
21,120,9
