x,y,height
0,42,7
0,43,12
0,44,12
0,45,7
0,46,10
0,47,11
0,71,9
0,72,10
0,73,9
0,77,8
0,78,13
0,79,12
0,80,5
0,86,7
0,87,8
0,88,8
0,89,10
0,90,14
0,91,24
0,92,11
0,93,10
0,96,16
0,97,13
0,98,9
0,99,8
0,100,4
0,104,10
0,105,13
0,106,8
0,115,10
0,116,8
0,118,4
0,119,12
0,123,7
0,124,4
1,41,12
1,42,10
1,43,12
1,44,10
1,45,11
1,46,9
1,47,10
1,48,4
1,71,9
1,72,8
1,73,10
1,76,11
1,77,12
1,78,12
1,79,5
1,85,4
1,86,8
1,87,10
1,88,10
1,89,8
1,90,12
1,91,15
1,92,7
1,96,17
1,97,9
1,103,5
1,104,9
1,105,13
1,106,8
1,107,8
1,115,12
1,116,11
1,118,4
1,119,12
1,120,12
1,124,8
2,41,12
2,42,12
2,43,12
2,44,11
2,45,9
2,46,9
2,47,7
2,72,9
2,73,10
2,74,5
2,75,10
2,76,11
2,77,10
2,86,9
2,87,10
2,88,9
2,89,4
2,92,4
2,95,8
2,96,4
2,97,4
2,102,5
2,103,8
2,104,8
2,105,9
2,106,13
2,107,9
2,110,8
2,111,4
2,115,11
2,116,8
2,119,11
2,120,12
2,124,5
3,41,7
3,42,10
3,43,11
3,44,10
3,45,9
3,46,7
3,47,4
3,73,4
3,74,10
3,75,12
3,76,10
3,77,5
3,86,9
3,87,9
3,88,4
3,95,7
3,96,8
3,97,5
3,102,7
3,103,9
3,104,9
3,105,8
3,106,9
3,110,5
3,111,4
3,114,5
3,115,13
3,116,7
3,118,4
3,119,13
3,120,12
3,122,7
4,42,9
4,43,5
4,44,4
4,45,8
4,46,4
4,74,9
4,75,9
4,76,8
4,86,4
4,87,7
4,89,9
4,90,4
4,91,5
4,97,4
4,98,8
4,99,4
4,102,4
4,103,8
4,104,9
4,105,9
4,109,4
4,110,4
4,115,10
4,118,7
4,119,13
4,122,10
5,89,7
5,90,9
5,91,8
5,94,10
5,99,8
5,100,8
5,101,4
5,102,4
5,103,9
5,104,7
5,118,8
5,119,12
5,121,9
5,122,9
6,76,7
6,77,7
6,89,4
6,90,9
6,93,11
6,94,10
6,95,7
6,96,9
6,97,7
6,100,9
6,102,4
6,113,9
6,114,9
6,121,10
6,122,8
7,43,11
7,44,9
7,47,8
7,48,12
7,49,15
7,50,10
7,51,9
7,52,8
7,53,4
7,66,4
7,68,4
7,76,5
7,77,12
7,78,5
7,93,11
7,94,8
7,95,4
7,96,9
7,97,7
7,98,8
7,99,8
7,105,4
7,106,9
7,107,10
7,112,8
7,113,13
7,114,12
7,117,8
7,122,7
8,42,12
8,43,11
8,44,10
8,47,11
8,48,16
8,49,15
8,50,10
8,51,9
8,52,8
8,53,4
8,65,4
8,66,4
8,67,4
8,68,8
8,74,9
8,77,11
8,78,11
8,79,4
8,92,7
8,93,7
8,99,7
8,100,9
8,106,10
8,107,10
8,112,9
8,113,12
8,114,4
8,116,7
8,117,9
9,42,10
9,43,10
9,44,9
9,47,8
9,48,15
9,49,12
9,50,10
9,51,9
9,52,7
9,53,4
9,64,4
9,65,5
9,66,8
9,67,9
9,68,10
9,72,8
9,73,8
9,74,9
9,75,7
9,78,12
9,79,7
9,92,9
9,102,10
9,103,12
9,104,10
9,112,10
9,113,12
9,116,8
9,117,12
9,120,8
9,127,4
10,42,7
10,43,5
10,47,7
