x,y,height
77,7,7
78,6,8
79,3,8
79,4,8
80,3,4
80,4,5
81,1,7
81,2,5
82,1,7
82,33,3
82,34,4
82,35,3
83,1,4
83,33,4
83,34,2
83,35,3
84,1,5
84,33,4
84,34,2
84,35,4
84,36,2
85,34,3
85,35,2
85,36,3
86,0,4
86,34,3
86,35,2
86,36,2
87,0,8
87,1,9
87,35,2
88,0,9
90,29,9
90,30,9
90,31,8
91,32,7
91,33,8
92,32,6
92,33,6
93,32,6
95,0,4
96,0,8
97,0,8
97,1,7
98,0,9
98,1,5
99,0,7
99,1,4
100,1,4
102,0,11
102,1,7
103,0,12
103,1,7
103,7,4
104,0,9
104,1,4
104,7,9
104,58,11
104,67,4
104,68,7
104,69,9
105,0,11
105,1,9
105,7,8
105,62,8
105,63,8
105,64,9
105,65,9
105,66,8
105,67,7
106,1,11
106,65,6
106,71,8
107,1,10
107,59,9
107,61,4
107,109,4
108,1,7
108,2,7
108,9,7
108,58,9
108,59,8
108,60,9
108,61,8
108,108,7
108,109,5
109,1,5
109,2,8
109,9,6
109,50,4
109,51,8
109,52,8
109,54,7
109,55,8
109,56,9
109,57,9
109,58,9
109,104,8
109,106,7
110,2,9
110,9,7
110,10,7
110,44,7
110,45,9
110,50,4
110,51,8
110,52,8
110,53,9
110,54,9
110,55,9
110,56,9
110,105,6
110,106,7
110,109,7
110,110,7
111,2,9
111,3,4
111,45,9
111,46,10
111,48,4
111,49,10
111,50,9
111,51,9
112,2,8
112,3,8
112,31,7
112,46,4
112,47,10
112,49,10
112,59,4
113,3,8
113,10,4
113,31,12
113,32,5
113,34,4
113,38,5
113,39,8
113,40,7
113,58,4
113,59,8
114,4,8
114,5,8
114,6,4
114,7,4
114,19,4
114,21,4
114,25,7
114,26,11
114,27,9
114,28,9
114,29,10
114,32,12
114,34,7
114,35,4
114,38,7
114,59,9
115,5,8
115,6,8
115,7,10
115,11,7
115,12,4
115,13,9
115,14,8
115,15,10
115,16,10
115,17,9
115,18,8
115,19,8
115,20,9
115,21,8
115,23,7
115,49,4
115,51,7
115,52,7
116,11,7
116,12,10
116,13,9
116,14,10
116,15,9
116,16,8
116,17,8
116,18,10
116,19,9
116,20,9
116,21,9
116,28,5
116,29,4
116,30,4
116,31,8
116,47,4
116,48,9
116,49,8
117,0,10
117,1,9
117,4,4
117,22,9
117,23,7
117,25,10
117,26,9
117,27,7
117,28,8
117,29,9
117,30,8
117,31,7
117,34,8
117,35,7
117,36,4
117,38,8
117,39,7
117,46,9
117,47,4
118,0,11
118,1,11
118,4,4
118,5,11
118,6,11
118,7,7
118,8,4
118,9,4
118,14,7
118,15,8
118,16,11
118,19,8
118,20,9
118,21,8
118,22,10
118,23,10
118,28,8
118,30,4
118,38,8
118,44,9
118,45,8
119,0,12
119,1,11
119,6,10
119,7,10
119,8,10
119,9,10
119,10,10
119,13,7
119,14,8
119,15,9
119,16,9
119,19,8
119,20,9
119,31,9
119,34,8
119,44,8
120,0,11
120,8,10
120,9,9
120,10,4
120,14,5
120,15,7
120,17,5
120,18,5
120,20,4
120,26,4
120,27,7
120,28,7
120,29,5
120,30,11
120,33,9
120,38,9
120,39,7
120,42,8
120,43,8
121,0,8
121,4,10
121,5,4
121,9,9
121,10,9
121,20,7
121,21,8
121,22,7
121,26,7
121,27,5
121,36,7
121,37,9
121,38,9
121,39,5
122,0,4
122,4,10
122,9,8
122,10,11
122,21,7
122,22,9
122,23,8
122,30,5
122,31,8
122,33,9
122,34,8
122,53,6
122,54,6
123,0,9
123,1,7
123,4,11
123,53,7
123,54,7
124,3,4
124,4,4
124,8,4
124,53,7
124,54,8
124,55,7
124,64,7
125,7,8
125,8,8
125,9,7
125,17,7
125,53,6
125,54,7
125,55,8
125,63,9
125,64,8
126,6,7
126,7,7
126,10,4
126,11,8
126,16,7
126,17,8
127,6,8
127,7,9
127,49,9
127,50,10
