x,y,height
0,0,22
0,5,20
0,9,7
0,10,12
0,12,7
0,13,10
0,14,4
0,17,9
0,18,10
0,51,4
0,52,14
0,53,16
0,54,4
0,55,4
1,2,19
1,3,21
1,9,7
1,10,12
1,13,12
1,14,8
1,16,5
1,17,12
1,18,14
1,52,15
1,53,15
1,54,7
2,2,21
2,3,22
2,10,12
2,13,12
2,14,10
2,16,8
2,17,11
2,52,7
3,1,20
3,2,21
3,3,20
3,10,11
3,13,10
3,14,10
3,16,8
3,17,10
3,20,7
3,21,7
4,1,21
4,2,20
4,3,19
4,10,8
4,11,11
4,16,4
4,20,7
4,21,7
5,1,20
5,2,20
5,3,18
5,10,9
5,11,12
5,14,8
5,15,8
5,16,8
5,52,7
6,2,18
6,3,17
6,10,7
6,11,12
6,13,7
6,14,8
6,15,7
6,20,9
6,54,8
6,55,8
7,4,10
7,5,12
7,10,4
7,11,11
7,16,9
7,41,4
7,42,4
7,43,4
7,53,8
7,54,9
7,55,8
7,77,9
7,78,4
8,0,20
8,1,19
8,4,12
8,5,11
8,10,5
8,16,11
8,19,8
8,40,4
8,41,5
8,42,4
8,43,6
8,53,9
8,54,8
8,55,8
8,56,8
8,77,11
8,78,9
8,79,4
9,0,19
9,1,22
9,5,9
9,6,7
9,7,8
9,10,8
9,11,8
9,16,12
9,19,8
9,40,4
9,41,4
9,42,5
9,43,5
9,51,4
9,52,9
9,53,8
9,54,9
10,1,8
10,3,17
10,6,9
10,7,12
10,9,8
10,10,7
10,11,9
10,12,5
10,15,12
10,16,11
10,19,8
10,50,4
10,51,9
10,52,8
10,53,7
10,54,4
10,70,5
11,2,15
11,3,18
11,4,18
11,7,12
11,14,5
11,15,11
11,16,4
11,50,7
11,51,8
11,52,7
11,53,4
11,68,5
11,69,5
11,70,9
12,3,16
12,4,21
12,10,7
12,11,8
12,13,5
12,14,8
12,15,7
12,51,4
12,68,5
12,69,6
13,3,9
13,4,11
13,5,11
13,7,7
13,8,11
13,10,8
13,11,7
13,13,7
13,14,5
13,53,7
13,54,11
13,55,8
13,68,5
13,69,5
14,4,11
14,5,11
14,7,10
14,8,12
14,51,7
14,52,11
14,53,13
14,54,11
14,55,10
15,4,11
15,5,10
15,8,12
15,9,9
15,13,8
15,14,9
15,15,5
15,50,7
15,51,36
15,52,36
15,53,13
15,54,13
15,55,7
16,4,11
16,5,12
16,8,12
16,9,11
16,12,7
16,13,8
16,14,11
16,15,8
16,51,7
16,52,36
16,53,36
16,54,9
17,4,7
17,5,9
17,8,11
17,9,10
17,12,5
17,13,9
17,14,9
17,15,9
17,52,9
17,53,7
17,54,4
18,0,7
18,1,11
18,2,9
18,5,11
18,12,4
18,13,4
18,15,4
18,51,7
18,52,7
19,0,7
19,1,12
19,2,11
19,5,10
19,6,7
19,10,8
19,11,12
19,12,10
19,13,9
19,49,4
19,50,7
19,51,4
19,52,4
20,10,11
20,11,12
20,12,10
20,49,7
20,50,11
20,51,12
20,52,12
21,49,7
21,50,8
21,51,10
21,52,11
21,53,11
22,49,8
22,50,9
22,51,9
22,52,7
23,20,7
23,49,7
23,50,8
23,51,7
25,20,4
26,19,7
27,19,9
27,20,8
29,18,9
30,0,4
30,2,4
30,3,5
30,4,4
30,10,4
30,11,5
30,18,8
31,0,4
31,1,7
31,2,7
31,3,7
31,4,4
31,5,8
31,6,10
31,8,4
31,9,7
31,10,9
31,11,10
31,12,9
32,0,4
32,1,9
32,2,9
32,3,9
32,5,10
32,6,8
32,9,4
32,10,10
32,11,9
32,12,8
34,0,5
34,1,5
34,2,4
34,3,9
34,4,9
34,7,4
35,0,9
35,1,10
35,3,10
35,4,9
35,6,8
35,7,9
35,8,9
46,6,5
46,7,7
47,5,11
47,6,12
47,7,12
48,5,9
48,6,12
48,7,10
49,5,4
49,6,11
49,7,9
50,0,4
50,2,4
50,3,4
50,4,7
50,5,12
50,6,10
51,0,7
51,1,7
51,2,8
51,4,9
51,5,11
51,6,11
52,1,7
52,2,8
52,4,8
52,5,12
52,6,10
53,14,4
54,1,5
54,4,5
54,10,4
54,11,5
55,0,4
55,1,7
55,3,5
55,4,6
55,5,9
56,2,5
56,3,4
56,4,8
56,5,8
59,0,7
59,1,5
59,2,8
60,0,12
60,1,10
60,2,4
61,0,11
61,1,7
61,10,6
61,102,7
62,1,4
62,3,8
62,9,4
62,10,4
62,12,4
63,0,5
63,1,10
63,2,4
63,3,7
63,9,11
63,10,5
64,0,7
64,1,10
64,2,7
65,0,7
65,1,9
65,2,8
66,0,8
66,1,8
66,2,7
67,2,4
68,64,4
82,95,8
87,93,4
88,93,7
110,101,5
110,102,4
112,112,5
113,100,5
113,112,4
114,101,6
114,102,5
114,110,5
114,111,4
114,112,6
115,111,5
