x,y,height
0,1,24
0,2,21
0,3,21
0,4,20
0,8,20
0,9,22
0,13,26
0,14,25
0,15,24
0,24,16
0,25,15
0,26,16
0,27,16
0,28,14
0,34,11
0,35,8
0,36,8
0,37,7
0,38,9
0,39,7
0,40,7
0,41,8
0,42,8
0,43,7
0,50,11
0,51,10
0,52,9
0,53,7
0,56,7
0,57,7
0,58,9
0,59,9
0,60,8
0,61,8
1,1,20
1,2,22
1,6,23
1,11,25
1,12,26
1,13,25
1,24,12
1,25,15
1,26,15
1,27,15
1,28,16
1,29,16
1,34,11
1,35,9
1,36,7
1,37,9
1,38,9
1,39,8
1,40,8
1,41,8
1,42,8
1,43,7
1,44,8
1,49,12
1,50,11
1,51,11
1,52,10
1,53,11
1,57,7
1,58,9
1,59,7
1,60,9
2,5,25
2,6,26
2,7,26
2,10,26
2,11,26
2,12,26
2,25,13
2,26,15
2,27,16
2,28,15
2,29,15
2,30,16
2,35,12
2,36,7
2,37,9
2,38,8
2,39,8
2,40,8
2,41,8
2,42,9
2,43,8
2,44,8
2,48,12
2,49,12
2,50,11
2,51,12
2,52,12
2,53,12
2,54,11
2,58,7
2,59,8
3,4,27
3,5,28
3,6,25
3,11,24
3,26,13
3,27,15
3,28,16
3,29,15
3,30,16
3,31,14
3,35,11
3,36,8
3,37,8
3,38,9
3,39,8
3,40,7
3,41,9
3,42,9
3,43,8
3,44,8
3,45,8
3,48,11
3,49,12
3,50,12
3,51,12
3,52,12
3,53,13
3,54,12
3,55,12
3,56,12
4,4,28
4,5,28
4,8,27
4,9,27
4,27,13
4,28,14
4,29,14
4,30,13
4,31,13
4,36,11
4,37,7
4,38,9
4,39,9
4,40,7
4,41,9
4,42,7
4,43,9
4,44,9
4,45,8
4,46,4
4,50,12
4,51,12
4,52,12
4,53,14
4,54,11
4,55,11
4,56,11
5,0,17
5,1,19
5,4,26
5,5,27
5,6,27
5,7,27
5,8,27
5,9,27
5,28,14
5,29,15
5,30,14
5,31,13
5,32,13
5,33,11
5,37,10
5,38,9
5,39,8
5,40,9
5,41,8
5,42,8
5,43,7
5,44,8
5,45,8
5,46,9
5,47,4
5,51,11
5,52,12
5,53,13
5,54,13
5,55,12
5,56,9
6,0,22
6,1,21
6,2,18
6,5,25
6,6,26
6,7,27
6,8,25
6,29,14
6,30,15
6,31,15
6,32,13
6,33,13
6,38,10
6,39,9
6,40,8
6,41,8
6,42,7
6,43,8
6,44,7
6,45,7
6,46,7
6,47,7
6,48,8
6,52,13
6,53,11
6,54,12
6,55,9
7,0,25
7,1,23
7,2,24
7,3,18
7,6,24
7,7,24
7,29,11
7,30,15
7,31,15
7,32,15
7,33,14
7,34,11
7,39,9
7,40,8
7,41,7
7,42,8
7,43,7
7,44,7
7,45,8
7,46,8
7,47,8
7,48,8
7,49,7
7,52,11
7,53,12
7,54,8
7,55,7
7,56,4
8,0,21
8,1,23
8,2,24
8,3,24
8,4,14
8,30,4
8,31,17
8,32,16
8,33,13
8,34,10
8,39,11
8,40,8
8,41,7
8,42,9
8,43,7
8,44,7
8,45,9
8,46,8
8,47,9
8,48,8
8,49,7
8,50,8
8,51,8
8,52,12
8,53,9
9,0,21
9,1,26
9,2,22
9,3,21
9,4,11
9,31,11
9,32,14
9,33,12
9,34,11
9,35,13
9,40,12
9,41,9
9,42,7
9,43,8
9,44,8
9,45,8
9,46,9
9,47,7
9,48,8
9,49,9
9,50,8
10,0,21
10,1,21
10,2,21
10,3,15
10,4,11
10,32,12
10,33,11
10,34,11
10,35,12
10,41,10
10,42,8
10,43,8
10,44,8
10,45,7
10,46,8
10,47,8
10,48,7
10,49,8
11,0,11
11,1,19
11,2,17
11,6,14
11,33,9
11,42,9
11,43,8
11,44,8
11,45,7
11,46,9
11,47,9
11,48,8
11,49,7
12,4,16
12,5,18
12,6,18
12,7,17
12,22,9
12,23,10
12,37,18
12,38,19
12,43,12
12,44,7
12,45,7
12,46,9
12,47,9
12,48,7
13,3,15
13,4,18
13,5,19
13,6,19
13,7,19
13,8,18
13,21,8
13,22,21
13,23,20
13,24,17
13,36,20
13,37,21
13,38,21
13,44,11
13,45,10
13,46,9
13,47,8
14,3,12
14,4,17
14,5,21
14,6,21
14,7,22
14,8,19
14,9,16
14,21,9
14,22,14
14,23,15
14,24,16
14,25,16
14,35,19
14,36,22
14,37,20
14,38,18
14,39,16
14,40,18
14,45,10
14,46,9
15,4,15
15,5,21
15,6,22
15,7,23
15,8,22
15,9,18
15,18,7
15,22,14
15,23,15
15,24,15
15,25,18
15,36,19
15,37,18
15,38,18
15,39,20
15,40,20
16,4,13
16,5,20
16,6,22
16,7,24
16,8,23
16,17,4
16,18,15
16,19,18
