x,y,heigth
0,0,10
0,1,7
0,3,12
0,4,7
0,8,20
0,13,22
0,14,21
0,15,21
0,16,12
0,18,10
0,19,13
0,20,14
0,21,10
0,24,11
0,25,12
0,26,10
0,27,9
0,28,7
0,29,10
0,30,10
0,33,7
0,34,8
0,50,8
0,51,9
0,64,8
0,67,8
0,88,5
0,89,12
0,113,9
0,114,16
0,115,15
0,116,13
1,0,12
1,3,12
1,4,7
1,10,21
1,11,19
1,14,21
1,15,20
1,16,18
1,17,16
1,19,14
1,20,10
1,24,11
1,25,11
1,26,11
1,29,10
1,30,10
1,49,8
1,50,9
1,52,8
1,53,7
1,64,9
1,65,9
1,67,8
1,68,6
1,86,7
1,87,7
1,88,9
1,89,12
1,114,20
1,115,15
1,116,15
1,117,8
2,0,12
2,3,12
2,10,22
2,11,21
2,15,19
2,16,19
2,17,19
2,22,13
2,30,11
2,31,10
2,52,7
2,53,9
2,54,4
2,65,9
2,68,8
2,69,7
2,85,7
2,86,8
2,87,8
2,88,8
2,89,11
2,90,12
2,116,4
3,0,10
3,3,11
3,10,20
3,11,21
3,12,20
3,15,13
3,17,19
3,21,17
3,22,15
3,23,10
3,30,11
3,31,11
3,47,4
3,48,4
3,51,7
3,52,8
3,68,8
3,69,8
3,85,7
3,86,9
3,87,9
3,88,8
3,89,4
3,90,12
3,91,11
4,2,11
4,3,8
4,10,19
4,11,20
4,12,21
4,19,8
4,21,26
4,22,12
4,23,11
4,26,10
4,27,12
4,28,7
4,30,10
4,31,11
4,47,7
4,48,7
4,51,7
4,66,9
4,67,8
4,69,8
4,70,7
4,85,7
4,86,8
4,87,8
4,88,7
4,89,8
4,90,11
4,91,12
4,92,12
4,114,15
4,115,16
4,116,13
4,117,7
4,119,5
5,2,12
5,3,9
5,10,18
5,11,20
5,12,20
5,18,19
5,19,18
5,22,7
5,23,11
5,24,11
5,27,12
5,28,8
5,30,9
5,31,8
5,47,4
5,51,8
5,66,7
5,70,7
5,86,9
5,87,8
5,88,8
5,89,9
5,90,9
5,91,12
5,92,12
5,93,10
5,114,16
5,115,16
5,116,15
5,117,12
5,118,7
5,119,11
5,120,14
6,0,7
6,2,12
6,3,7
6,10,17
6,11,18
6,17,9
6,18,19
6,19,19
6,20,17
6,24,12
6,27,10
6,30,11
6,31,7
6,46,4
6,47,9
6,50,7
6,51,8
6,67,8
6,70,7
6,86,9
6,87,10
6,88,9
6,89,9
6,90,10
6,91,11
6,92,12
6,93,11
6,113,4
6,114,14
6,115,15
6,116,18
6,117,18
6,118,8
6,119,14
6,120,16
6,121,14
7,2,11
7,3,4
7,8,12
7,9,10
7,14,19
7,15,18
7,17,9
7,18,20
7,19,20
7,20,18
7,24,10
7,25,11
7,30,11
7,45,8
7,46,5
7,47,9
7,50,8
7,71,6
7,72,7
7,87,9
7,88,8
7,89,8
7,90,10
7,91,8
7,92,10
7,93,13
7,94,13
7,114,14
7,115,15
7,116,19
7,117,19
7,119,10
7,120,14
7,121,16
7,122,16
7,127,20
8,3,5
8,8,11
8,9,12
8,12,19
8,13,20
8,14,21
8,15,21
8,18,22
8,19,20
8,20,19
8,25,7
8,45,4
8,46,7
8,49,9
8,71,7
8,72,9
8,87,9
8,88,9
8,89,7
8,90,10
8,91,8
8,92,12
8,93,8
8,94,12
8,95,11
8,114,7
8,115,16
8,120,12
8,121,17
8,122,15
8,126,10
8,127,20
9,2,8
9,3,8
9,6,8
9,7,7
9,8,9
9,12,22
9,13,19
9,14,19
9,15,20
9,16,19
9,18,10
9,19,22
9,20,20
9,21,13
9,45,8
9,46,7
9,49,8
9,89,7
9,90,8
9,91,9
9,92,10
9,93,8
9,94,10
9,95,13
9,96,11
9,114,11
9,115,11
9,120,5
9,127,19
10,1,5
10,2,9
10,3,7
10,4,8
10,6,12
10,7,9
10,10,17
10,12,8
10,15,20
10,16,20
10,19,19
10,20,22
10,21,14
10,22,10
10,28,11
10,29,9
10,30,11
10,45,4
10,48,10
10,49,8
10,90,8
10,91,9
10,92,10
10,93,11
10,94,9
10,95,12
10,96,13
10,97,11
10,114,14
10,115,15
10,116,15
10,120,16
10,121,14
10,125,9
11,6,12
11,9,18
11,10,18
11,11,15
11,15,20
11,16,23
11,17,16
11,20,10
11,21,18
11,22,18
11,28,12
11,29,10
11,48,8
11,49,4
11,90,9
11,91,9
11,92,10
11,93,9
11,94,8
11,95,9
11,96,13
11,97,12
11,98,10
11,114,7
11,115,14
11,116,14
11,117,15
11,119,15
11,120,17
11,121,17
11,122,12
11,124,14
11,125,15
12,0,5
12,2,8
12,3,7
12,9,21
12,10,16
12,16,19
12,17,20
12,20,8
12,21,19
12,22,18
12,23,17
12,28,12
12,29,10
12,48,8
12,90,4
12,91,9
12,92,9
12,93,9
12,94,9
12,95,10
12,96,10
12,97,9
12,98,11
12,115,7
12,116,15
12,117,15
12,118,4
12,119,14
12,120,17
12,121,17
12,122,17
12,123,13
12,124,16
12,125,16
12,126,16
13,0,7
13,2,7
13,3,8
13,5,11
13,6,7
13,8,11
13,9,11
13,10,9
13,16,8
13,17,11
13,18,17
13,21,10
13,22,18
13,23,18
13,24,16
13,25,16
13,26,20
13,27,18
13,28,11
13,29,7
13,47,7
13,48,5
13,92,9
13,93,7
13,94,9
13,95,10
13,96,8
13,97,9
13,98,12
13,99,11
13,115,4
13,116,12
13,121,18
13,122,19
13,123,15
13,124,14
13,125,16
13,126,15
13,127,21
14,5,12
14,6,10
14,8,11
14,9,11
14,17,20
14,18,21
14,22,16
14,23,17
14,24,20
14,25,23
14,26,20
14,27,21
14,28,19
14,44,7
14,47,9
14,92,8
14,93,8
14,94,8
14,95,10
14,96,8
14,97,10
14,98,9
14,99,12
14,100,13
14,121,17
