x,y,heigth
0,42,5
0,43,8
0,44,8
0,45,4
0,106,8
0,107,4
0,110,14
0,111,15
0,112,7
0,122,13
0,123,12
0,124,12
0,125,8
0,126,7
1,42,6
1,43,5
1,44,9
1,45,4
1,106,11
1,107,5
1,110,11
1,111,11
1,112,7
1,121,12
1,122,14
1,123,13
1,124,11
1,125,11
1,126,11
1,127,9
2,42,7
2,43,7
2,44,8
2,106,12
2,110,7
2,111,8
2,120,8
2,121,13
2,122,14
2,123,14
2,124,12
2,125,13
2,126,12
2,127,12
3,42,9
3,43,7
3,44,8
3,45,9
3,106,11
3,110,7
3,121,12
3,122,12
3,123,13
3,124,13
3,125,14
3,126,15
3,127,14
4,44,8
4,45,7
4,105,11
4,106,11
4,109,11
4,110,10
4,111,4
4,122,13
4,123,12
4,124,11
4,125,11
4,126,15
4,127,15
5,62,8
5,63,8
5,66,8
5,67,8
5,105,11
5,106,10
5,109,12
5,110,10
5,122,12
5,123,13
5,124,12
5,125,13
5,126,11
5,127,12
6,62,4
6,63,7
6,64,9
6,66,9
6,67,8
6,101,4
6,103,4
6,105,10
6,106,8
6,109,11
6,110,9
6,126,12
6,127,11
7,66,9
7,103,4
7,105,7
7,109,9
7,110,4
7,127,11
8,65,7
8,66,9
8,69,9
8,70,8
8,103,9
8,104,5
8,105,4
8,109,8
9,69,10
9,70,5
9,71,5
9,72,4
9,103,8
9,104,7
9,105,11
9,108,12
9,109,8
9,124,4
10,70,5
10,71,6
10,72,4
10,73,5
10,78,7
10,79,10
10,80,8
10,103,4
10,104,11
10,105,11
10,108,8
10,109,10
10,124,5
10,125,5
10,126,4
11,78,11
11,79,11
11,80,9
11,103,4
11,104,8
11,108,8
11,109,8
12,78,11
12,79,11
12,80,8
12,81,5
12,82,4
12,83,4
12,103,5
12,104,12
12,108,9
12,109,7
13,77,12
13,78,10
13,79,11
13,81,4
13,82,5
13,102,4
13,103,7
13,104,12
13,108,7
13,109,7
14,23,6
14,24,6
14,76,5
14,77,12
14,78,10
14,79,11
14,81,4
14,82,5
14,103,10
14,104,11
14,107,10
14,108,8
15,76,9
15,77,10
15,78,12
15,79,11
15,103,9
15,104,9
15,107,9
15,108,9
16,76,11
16,77,12
16,78,12
16,79,11
16,80,8
16,103,8
16,104,9
16,107,9
16,108,8
17,75,5
17,76,8
17,77,12
17,78,10
17,79,9
17,80,4
17,81,4
17,103,10
17,106,9
17,107,12
17,108,5
18,75,4
18,76,7
18,77,9
18,78,8
18,79,8
18,80,4
18,100,4
18,101,5
18,102,4
18,103,7
18,106,10
18,107,10
19,76,8
19,77,9
19,78,9
19,79,5
19,100,10
19,101,8
19,102,5
19,103,7
19,106,12
19,107,10
20,67,5
20,75,8
20,76,7
20,77,10
20,78,12
20,79,4
20,80,6
20,100,4
20,101,7
20,102,7
20,106,11
20,107,10
21,66,4
21,67,8
21,70,4
21,71,5
21,72,5
21,75,9
21,76,9
21,77,7
21,78,6
21,79,5
21,101,7
21,102,7
21,106,12
21,107,9
22,67,8
22,68,4
22,69,8
22,70,5
22,71,5
22,72,4
22,73,6
22,75,7
22,76,8
22,77,8
22,78,4
22,79,4
22,101,9
22,102,7
22,103,9
22,106,8
22,107,4
23,69,11
23,70,6
23,71,6
23,72,4
23,75,4
23,76,8
23,77,4
23,78,6
23,101,8
23,102,7
24,68,4
24,69,4
24,70,6
24,71,5
24,72,6
24,73,4
24,76,4
24,77,6
24,78,5
24,99,7
24,100,10
24,101,4
24,109,7
24,110,7
25,70,4
25,71,5
25,72,5
25,73,5
25,75,4
25,76,4
25,77,6
25,78,4
25,106,4
25,109,10
25,110,9
26,72,4
26,76,6
26,77,5
26,102,11
26,103,12
26,106,7
26,107,8
26,108,8
26,109,9
26,110,9
27,101,9
27,102,8
27,103,7
27,106,7
27,107,5
27,108,9
27,109,9
27,110,9
28,100,5
28,101,9
28,102,12
28,103,12
28,106,7
28,107,9
28,108,10
28,109,10
28,110,8
29,102,12
29,103,12
29,106,7
29,107,9
29,108,9
29,109,9
29,110,8
30,102,11
30,103,12
30,107,4
30,108,9
30,109,9
30,110,8
31,77,7
31,78,8
31,87,4
31,88,9
31,89,8
31,102,4
31,103,11
31,107,4
31,108,8
31,109,8
31,110,7
32,77,9
32,78,8
32,87,8
32,88,7
32,102,4
32,103,12
32,106,9
32,108,5
32,109,7
32,110,7
33,102,8
33,106,9
33,109,5
33,110,4
34,76,7
34,77,7
34,101,4
34,102,12
34,106,8
35,77,8
35,101,11
35,102,11
35,106,12
35,107,4
36,77,8
36,78,7
36,100,7
36,101,10
36,102,11
36,106,10
36,107,10
37,75,10
37,78,10
37,79,9
37,100,7
37,101,12
37,102,11
37,107,11
37,108,7
38,75,11
38,78,11
38,79,11
38,100,11
38,101,13
38,102,11
38,108,11
39,75,10
39,76,9
39,78,12
39,79,12
39,100,9
39,101,13
39,102,10
39,108,10
39,109,4
40,75,9
40,78,5
40,99,9
40,100,10
40,103,8
40,108,11
41,75,10
41,99,7
41,100,9
41,103,9
41,104,8
41,108,11
41,109,11
42,75,10
42,76,9
42,78,7
42,79,10
42,80,7
42,98,7
42,99,9
42,103,5
42,104,7
42,109,12
42,110,10
43,75,12
43,76,11
43,79,12
43,80,11
43,98,10
43,99,9
43,102,9
43,103,4
43,104,8
43,105,7
43,110,13
43,111,11
44,79,12
44,80,12
44,98,10
44,99,10
44,102,5
44,103,4
44,104,7
44,105,5
44,106,8
44,111,13
45,76,10
45,77,8
45,80,12
45,81,4
45,98,7
45,104,4
45,105,5
45,106,10
45,107,9
45,111,8
46,72,4
46,76,8
46,77,9
46,98,12
46,103,4
46,107,10
46,108,9
46,113,9
47,70,7
47,71,5
47,72,7
47,73,7
47,74,11
47,77,8
47,78,5
47,97,4
47,98,12
47,103,11
47,104,10
47,105,4
47,107,10
47,108,12
47,109,8
47,112,7
47,113,12
47,114,10
47,115,9
47,116,4
48,70,7
48,71,7
48,72,9
48,74,10
48,75,9
48,78,8
48,84,7
48,85,5
48,97,4
48,98,12
48,101,7
48,102,7
48,103,9
48,104,10
48,105,7
48,107,8
48,108,9
48,109,9
48,113,12
48,114,10
48,115,11
48,116,8
49,69,5
49,70,10
49,71,9
49,74,9
49,75,12
49,76,4
49,78,9
49,79,8
49,84,10
49,85,8
49,86,7
49,88,4
49,89,7
49,98,5
49,101,9
49,102,10
49,107,5
49,109,9
49,110,10
49,114,12
49,115,11
49,116,4
50,69,9
50,70,12
50,71,11
50,75,11
50,76,8
50,79,7
50,80,8
50,84,7
50,85,7
50,86,7
50,87,7
50,88,5
50,96,7
50,98,8
50,99,7
50,101,9
50,102,10
50,103,7
50,109,8
50,110,10
50,111,7
50,116,4
51,69,8
51,70,12
51,71,10
51,75,11
51,76,11
51,82,8
51,85,4
51,86,5
51,87,8
51,88,7
51,95,12
51,96,12
51,97,12
51,98,8
51,99,7
51,101,9
51,102,10
51,103,5
51,111,8
51,112,9
51,115,10
51,116,8
52,70,13
52,71,14
52,72,9
52,76,9
52,77,4
52,82,7
52,83,9
52,87,7
52,88,10
52,89,11
52,90,9
52,91,8
52,95,11
52,96,12
52,97,12
52,98,9
52,99,8
52,101,7
52,102,10
52,103,4
52,104,4
52,109,4
52,111,8
52,112,9
52,113,10
52,116,10
52,117,8
52,119,4
52,120,5
53,66,5
53,67,11
53,68,4
53,72,8
