x,y,heigth
57,36,5
57,37,10
58,36,10
58,37,11
59,36,11
59,37,11
60,36,11
60,37,11
61,36,11
61,37,11
64,4,10
64,5,9
64,6,4
64,7,7
64,8,7
65,0,8
65,4,10
65,5,9
65,6,7
65,7,7
65,8,7
65,16,10
65,17,8
65,18,4
65,36,9
65,37,8
66,0,8
66,15,7
66,16,11
66,17,8
66,18,9
66,19,4
66,36,9
66,37,9
67,19,8
67,20,9
67,21,8
67,36,9
67,37,9
68,13,4
68,20,9
68,21,8
68,36,10
68,37,9
69,13,5
69,14,8
69,23,9
69,24,8
69,36,8
70,13,4
70,14,7
70,15,9
70,17,9
70,18,5
70,23,8
70,24,8
70,35,7
70,36,10
71,1,10
71,2,9
71,3,5
71,15,8
71,17,8
71,18,9
71,19,5
71,26,4
71,27,9
71,35,5
71,36,10
71,37,4
71,40,8
71,41,7
72,1,9
72,2,10
72,3,8
72,4,9
72,5,9
72,18,9
72,19,8
72,20,7
72,21,9
72,27,8
72,36,7
72,40,7
72,41,9
73,3,9
73,4,9
73,5,9
73,19,7
73,23,7
73,28,5
73,29,7
73,30,7
73,35,4
73,36,10
73,37,7
74,4,8
74,5,8
74,6,4
74,23,8
74,29,7
74,30,5
74,36,8
74,37,5
74,40,11
74,41,4
75,0,5
75,5,5
75,6,4
75,21,4
75,26,6
75,27,7
75,30,4
75,40,12
75,41,10
76,2,4
76,20,8
76,21,7
76,22,7
76,26,7
76,27,4
76,31,8
76,33,4
76,36,8
76,37,9
76,40,12
76,41,12
77,2,8
77,3,9
77,20,4
77,21,7
77,22,7
77,36,9
77,37,9
77,40,11
77,41,8
78,2,10
78,3,9
78,27,6
78,28,7
78,29,4
78,36,11
78,37,12
78,40,10
78,41,10
79,4,7
79,5,9
79,6,4
79,29,4
79,30,9
79,36,13
79,37,13
79,40,11
79,41,10
80,4,4
80,5,5
80,30,8
80,31,8
80,36,13
80,37,12
80,40,12
80,41,11
81,30,5
81,31,6
81,36,12
81,37,12
82,9,7
82,10,7
82,16,9
82,17,9
82,21,8
82,22,8
82,23,4
82,26,4
82,31,5
82,32,6
82,36,7
82,37,7
83,9,7
83,10,9
83,11,7
83,16,8
83,17,7
83,18,8
83,20,4
83,21,8
83,22,7
83,25,7
83,26,8
83,27,5
83,29,4
83,30,7
83,32,10
83,33,9
83,36,12
83,37,11
84,9,7
84,10,9
84,26,8
84,27,7
84,29,10
84,30,10
84,31,8
84,32,11
84,33,11
85,11,9
85,12,9
85,16,4
85,17,8
85,32,5
85,33,7
85,34,8
86,12,7
86,13,4
86,16,4
86,17,7
86,18,5
86,19,8
86,20,7
86,21,8
86,22,8
86,23,9
86,24,7
86,34,4
87,11,7
87,12,9
87,13,9
87,17,5
87,18,7
87,19,7
87,20,7
87,21,8
87,22,8
87,23,8
87,24,8
87,25,8
87,26,9
87,27,7
87,28,7
87,29,9
87,30,8
87,31,8
88,11,5
88,12,8
88,13,7
88,14,5
88,17,10
88,18,9
88,19,5
88,32,7
88,33,8
88,41,11
88,42,7
88,54,13
88,55,13
88,56,11
88,57,12
88,61,13
88,62,12
89,12,4
89,13,9
89,14,9
89,17,12
89,18,9
89,33,7
89,34,8
89,41,11
89,42,9
89,55,11
89,57,12
89,60,13
89,61,12
89,62,13
90,13,9
90,14,9
90,15,8
90,18,10
90,19,5
90,34,7
90,35,9
90,36,7
90,37,7
90,41,10
90,42,8
90,55,12
91,13,5
91,14,8
91,15,9
91,18,8
91,19,8
91,22,4
91,23,7
91,24,8
91,35,8
91,36,8
91,37,4
91,38,5
91,39,8
91,42,10
91,43,4
92,15,8
92,18,8
92,19,9
92,20,8
92,23,4
92,38,4
92,39,10
92,42,10
92,43,9
92,44,5
92,54,8
92,55,13
92,72,12
93,15,9
93,16,8
93,19,7
93,20,7
93,39,8
93,40,8
93,43,11
93,44,11
93,52,8
93,54,7
93,55,12
93,71,13
93,72,11
94,15,9
94,16,10
94,17,8
94,20,11
94,21,8
94,39,7
94,40,9
94,43,11
94,44,12
94,45,5
94,50,4
94,51,8
94,52,9
94,54,7
94,55,12
94,71,12
94,72,11
95,15,8
95,16,10
95,17,9
95,20,9
95,21,7
95,39,4
95,40,4
95,41,9
95,44,7
95,45,7
95,51,8
95,55,12
95,61,11
95,62,13
95,63,12
95,64,12
95,65,12
95,66,11
96,16,8
96,17,9
96,18,7
96,33,4
96,34,8
96,35,8
96,36,8
96,37,4
96,39,7
96,40,4
96,41,8
96,44,9
96,45,10
96,61,12
96,65,12
96,66,11
96,70,12
96,71,12
96,84,5
96,85,5
97,16,8
97,17,9
97,18,8
97,32,5
97,33,7
97,34,8
97,35,9
97,36,9
97,40,4
97,41,8
97,42,5
97,44,12
97,45,12
97,46,10
97,56,13
97,61,13
97,65,12
97,66,12
97,69,11
97,70,12
97,71,13
97,84,13
97,85,10
98,17,8
98,18,9
98,25,9
98,26,8
98,27,8
98,28,8
98,41,8
98,42,4
98,45,13
98,46,13
98,47,8
98,56,11
98,57,11
98,58,11
98,59,12
98,61,12
98,69,13
98,70,12
98,84,14
98,85,13
98,86,4
99,17,10
99,18,10
99,19,7
99,35,4
99,45,12
99,46,12
99,47,9
99,57,13
99,58,12
99,84,10
99,85,10
100,17,9
100,18,9
100,19,8
100,34,5
100,35,8
100,36,8
100,37,4
100,42,4
100,46,12
100,47,10
100,48,7
100,49,4
100,58,7
100,59,5
100,60,7
100,62,4
100,63,15
100,64,16
100,65,16
100,66,9
100,67,9
100,68,8
100,69,4
100,82,5
100,83,5
100,84,8
101,18,11
101,19,8
101,20,7
101,23,8
101,24,9
101,25,9
101,35,10
101,36,9
101,37,4
101,43,4
101,46,11
101,47,13
101,48,8
101,49,7
101,50,4
101,54,11
101,55,12
101,57,7
101,58,10
101,59,11
101,60,13
101,61,13
101,62,9
101,63,14
101,64,16
101,65,18
101,66,11
101,67,9
101,68,9
101,69,13
101,70,10
101,82,8
101,83,8
101,86,4
101,87,8
102,19,8
102,20,8
102,23,8
102,24,8
102,30,4
102,31,8
102,35,8
102,36,9
