x,y,heigth
22,123,3
23,124,4
30,94,14
30,95,14
30,96,5
30,97,4
31,94,13
31,95,14
31,96,13
31,97,13
31,98,13
31,99,12
31,100,12
32,95,13
32,96,12
32,97,14
32,98,14
32,99,12
32,100,12
32,101,5
33,98,4
33,100,11
33,101,4
33,105,5
34,101,4
34,105,8
34,106,4
34,107,5
34,108,5
35,106,4
35,107,7
35,108,5
36,107,8
37,94,3
37,95,4
38,95,4
40,105,6
40,106,4
41,106,6
43,104,8
44,102,8
44,103,8
44,104,9
44,105,9
45,100,10
45,101,11
45,102,7
45,103,9
45,104,9
45,105,8
46,99,10
46,100,11
46,101,10
46,102,8
46,103,8
46,104,8
47,97,8
47,98,9
47,99,9
47,100,11
47,101,12
47,102,9
47,103,7
47,104,4
48,97,7
48,98,8
48,99,9
48,100,10
48,101,9
48,102,8
48,103,7
48,104,4
49,98,7
49,99,9
49,100,8
49,101,8
49,102,7
49,103,7
50,98,8
50,99,9
50,100,7
50,101,8
50,102,5
51,99,9
51,100,9
51,101,7
51,102,4
52,100,10
52,101,7
52,102,7
52,103,5
53,102,7
62,93,7
62,94,7
62,103,7
63,93,8
63,94,8
63,95,7
63,102,8
63,103,9
63,104,8
64,94,8
64,95,9
64,96,5
64,102,10
64,103,9
64,104,10
64,105,9
65,95,9
65,102,9
65,103,9
65,104,11
66,98,3
66,99,4
66,103,7
66,120,9
66,121,5
67,96,4
67,97,4
67,98,4
67,99,3
67,100,3
67,120,7
67,121,5
68,97,4
68,98,3
68,99,3
68,100,3
68,101,3
68,113,9
69,96,4
69,97,4
69,98,3
69,99,4
69,100,4
69,113,8
69,114,8
69,115,8
70,97,4
70,99,3
70,100,4
70,113,8
70,114,7
70,117,8
71,114,7
71,117,8
71,118,10
71,119,8
71,120,12
72,117,4
72,118,8
72,119,8
72,120,10
72,121,9
72,122,7
73,120,10
73,121,9
73,122,7
73,123,11
73,124,10
74,123,10
74,124,12
74,125,10
74,126,5
75,125,8
75,126,8
75,127,8
76,126,8
76,127,9
77,127,4
