x,y,height
0,0,12
0,1,9
0,3,4
0,4,12
0,5,8
0,18,4
0,21,11
0,22,19
0,23,23
0,24,26
0,36,4
0,37,12
0,85,12
1,0,10
1,1,10
1,3,4
1,4,12
1,5,7
1,21,14
1,22,20
1,23,23
1,24,28
1,37,5
2,0,12
2,1,4
2,4,4
2,5,4
2,21,14
2,22,18
2,23,25
2,24,31
2,32,4
2,33,7
2,37,5
3,0,8
3,4,10
3,5,8
3,21,14
3,22,18
3,23,25
3,24,30
3,33,4
3,36,4
4,0,8
4,1,7
4,3,7
4,4,12
4,5,9
4,8,4
4,9,4
4,21,14
4,22,20
4,23,26
4,24,29
4,33,12
4,36,4
5,1,12
5,2,5
5,3,7
5,4,11
5,7,8
5,8,8
5,9,9
5,17,14
5,18,13
5,21,14
5,22,20
5,23,25
5,24,28
5,33,13
5,36,11
5,37,8
6,1,12
6,2,11
6,4,12
6,8,8
6,9,9
6,17,15
6,18,14
6,21,14
6,22,19
6,23,24
6,24,27
6,32,12
6,33,13
6,36,10
6,37,10
7,2,5
7,4,10
7,7,7
7,8,11
7,9,7
7,12,5
7,21,15
7,22,17
7,23,24
7,24,27
7,32,13
7,33,11
7,36,11
7,37,10
8,2,12
8,3,13
8,4,4
8,7,8
8,8,13
8,9,13
8,21,17
8,22,17
8,23,23
8,24,27
8,32,12
8,36,11
8,37,10
9,1,10
9,2,17
9,3,17
9,4,9
9,7,8
9,8,12
9,9,8
9,12,9
9,13,9
9,14,7
9,21,16
9,22,18
9,23,24
9,24,26
9,32,12
9,36,9
9,37,4
9,71,8
9,72,7
10,1,14
10,2,20
10,3,18
10,6,4
10,7,4
10,8,8
10,9,7
10,11,11
10,12,12
10,13,9
10,14,7
10,21,11
10,22,20
10,23,24
10,24,26
10,32,11
10,36,9
10,37,4
10,71,8
10,72,7
10,89,12
10,90,5
10,113,8
10,114,7
11,1,14
11,2,19
11,3,20
11,11,12
11,12,12
11,22,25
11,23,25
11,24,26
11,32,12
11,36,7
11,81,10
11,89,8
11,90,8
12,1,12
12,2,18
12,7,5
12,8,8
12,11,10
12,12,12
12,13,4
12,23,29
12,32,11
12,81,9
12,82,11
12,83,8
12,84,9
12,89,9
12,90,8
12,91,5
13,0,11
13,1,12
13,2,12
13,5,5
13,7,11
13,8,12
13,11,10
13,12,13
13,13,10
13,32,12
13,33,12
13,80,7
13,81,10
13,82,15
13,83,10
13,84,7
13,85,4
13,91,9
13,92,9
14,0,17
14,1,22
14,2,9
14,3,10
14,4,11
14,5,11
14,6,4
14,7,13
14,8,11
14,11,9
14,12,4
14,13,15
14,31,8
14,32,8
14,82,7
14,84,8
15,0,19
15,1,21
15,2,10
15,3,10
15,4,12
15,5,15
15,7,9
15,8,10
15,11,5
15,31,5
15,82,9
15,83,7
15,114,8
15,115,9
16,0,14
16,1,16
16,2,4
16,11,10
16,12,7
16,31,4
16,33,8
16,34,9
16,36,4
16,37,4
16,38,4
16,79,8
16,80,8
16,81,7
16,82,8
16,83,9
16,114,8
16,115,8
17,0,8
17,1,11
17,11,12
17,12,8
17,31,9
17,33,4
17,37,14
17,38,12
17,82,8
18,0,11
18,11,12
18,12,8
18,27,9
18,28,5
18,31,8
18,37,15
18,38,11
18,39,9
18,70,5
18,71,10
18,73,4
18,101,7
18,102,7
18,103,9
18,104,9
18,105,10
18,106,9
19,0,18
19,1,10
19,10,10
19,11,10
19,12,9
19,27,10
19,28,8
19,31,9
19,32,7
19,38,14
19,39,12
19,70,8
19,71,8
19,72,7
19,80,7
19,81,8
19,101,8
19,102,8
19,103,8
19,104,9
19,105,8
19,106,9
19,107,9
19,108,10
19,109,9
20,0,19
20,1,10
20,10,4
20,11,8
20,26,10
20,27,9
20,38,12
20,39,12
20,70,7
20,71,9
20,72,8
20,78,4
20,79,8
20,80,8
20,101,8
20,102,8
20,103,7
20,104,10
20,105,9
20,106,9
20,107,8
20,108,9
20,109,8
21,0,20
21,1,11
21,10,4
21,11,12
21,27,8
21,33,4
21,34,4
21,40,13
21,48,7
21,52,4
21,71,8
21,72,7
21,77,8
21,78,7
21,79,9
21,80,7
21,98,11
21,99,8
21,101,8
21,102,9
21,103,8
21,104,9
21,105,9
21,106,8
21,107,8
21,108,8
21,109,9
22,0,15
22,1,12
22,11,13
22,12,7
22,26,13
22,27,12
22,28,7
22,33,7
22,34,7
22,40,11
22,43,4
22,46,4
22,47,12
22,48,10
22,49,4
22,52,4
22,53,7
22,77,8
22,78,8
22,88,8
22,89,9
22,93,9
22,94,14
22,95,15
22,96,7
22,97,12
22,98,8
22,99,8
22,100,8
22,101,9
22,102,8
22,103,7
22,104,7
22,105,8
22,106,8
22,107,8
22,108,7
22,109,8
22,110,8
22,111,10
22,112,9
22,113,8
22,114,7
23,0,8
23,11,10
23,12,7
23,25,12
23,26,11
23,27,13
23,28,7
23,31,8
23,32,7
23,33,8
23,34,9
23,36,9
23,37,9
23,40,11
23,41,12
23,42,4
23,43,7
23,46,9
23,47,11
23,48,13
23,49,11
23,50,11
23,51,4
23,52,10
23,53,4
23,54,11
23,55,12
23,56,11
23,63,4
23,64,7
23,66,8
23,67,11
23,68,12
23,69,13
23,70,5
23,72,4
23,88,8
23,89,7
23,90,9
23,92,8
23,93,15
23,94,15
23,95,14
23,97,10
23,98,7
23,99,7
23,100,8
23,101,9
23,102,9
23,103,7
23,104,9
23,105,7
23,106,9
23,107,9
23,108,7
23,109,8
23,110,9
23,111,8
23,112,9
23,113,8
23,114,7
24,0,18
24,1,10
24,2,4
24,11,8
24,12,9
24,25,11
24,26,8
24,27,7
24,28,8
24,29,7
24,32,10
24,33,9
24,34,8
24,36,9
24,45,4
24,46,8
24,47,5
24,48,15
24,49,10
24,50,12
24,51,8
24,52,10
24,53,4
24,54,14
24,55,12
24,56,11
24,57,8
24,58,11
24,59,8
24,60,7
24,61,7
24,62,4
24,63,4
24,65,9
24,66,10
24,67,11
24,68,12
24,69,10
24,70,5
24,71,9
24,72,9
24,97,9
24,98,8
24,99,7
24,100,9
24,101,7
24,102,8
24,103,10
24,104,9
24,105,5
24,106,7
24,107,9
24,108,8
24,109,8
24,110,9
24,111,9
24,112,9
24,113,10
24,114,9
24,115,9
25,0,19
25,1,19
25,2,12
25,12,9
25,19,4
25,26,4
25,27,9
25,28,8
25,29,8
25,59,8
25,61,8
25,62,7
25,63,8
25,97,8
25,98,8
25,99,9
25,100,9
25,101,8
25,102,9
25,103,9
25,104,10
25,105,7
25,106,9
25,107,7
25,108,8
25,109,9
25,110,9
25,111,9
25,112,10
25,113,11
25,114,10
25,115,9
25,116,9
26,0,19
26,1,19
26,2,12
26,13,10
26,18,10
26,19,7
26,26,4
26,27,7
26,28,9
26,34,7
26,35,5
26,74,10
26,75,9
26,76,8
26,77,9
26,99,9
26,100,9
26,101,9
26,102,9
26,103,9
26,104,9
26,105,8
26,106,5
26,107,8
26,108,8
26,109,8
26,110,10
26,111,9
26,112,11
26,113,9
26,114,9
26,115,9
26,116,10
26,117,8
27,0,19
27,1,20
27,2,12
27,13,12
27,14,12
27,15,9
27,18,8
27,19,9
27,20,7
27,27,8
27,28,8
27,32,8
27,33,9
27,34,9
27,35,9
27,36,8
27,37,9
27,38,7
27,42,4
27,43,11
27,44,8
27,47,4
27,48,4
27,52,8
27,53,8
27,58,4
27,59,8
27,60,8
27,75,4
27,76,9
27,77,7
27,100,10
27,101,8
27,102,10
27,103,9
27,104,9
27,105,10
27,106,11
27,107,7
27,108,7
27,109,8
27,110,9
27,111,9
27,112,10
27,113,12
27,114,12
27,115,9
27,116,10
27,117,7
28,0,19
28,1,20
28,2,10
28,11,9
28,12,4
28,14,7
28,15,8
28,16,9
28,18,8
28,19,9
28,20,7
28,31,4
28,32,7
28,36,4
28,37,7
28,38,4
28,39,8
28,40,8
28,44,8
28,45,8
28,46,8
28,47,7
28,48,7
28,52,8
28,53,8
28,57,4
28,58,9
28,59,9
28,60,8
28,62,9
28,63,5
28,71,4
28,72,4
28,75,8
28,76,9
28,101,9
28,102,8
28,103,9
28,104,9
28,105,8
28,106,9
28,107,9
28,108,7
28,110,10
28,111,10
28,112,10
28,113,9
28,114,8
28,115,10
28,116,10
28,117,10
29,0,18
29,1,19
29,11,9
29,15,10
29,16,9
29,17,8
29,19,8
29,22,8
29,23,7
29,37,7
29,38,5
29,41,8
29,46,4
29,47,8
29,48,8
29,49,9
29,52,4
29,57,8
29,58,7
29,66,9
29,67,8
29,68,8
29,69,5
29,70,5
29,71,8
29,72,9
29,103,9
29,104,9
29,105,8
29,106,9
29,107,12
29,108,8
29,111,10
29,112,9
29,113,8
29,114,9
29,115,8
29,116,9
29,117,9
30,0,10
30,1,12
30,12,4
30,13,4
30,16,9
30,17,10
30,22,10
30,23,9
30,40,4
30,41,8
30,42,8
30,43,4
30,49,4
30,105,10
30,106,12
30,108,8
30,111,8
30,112,9
30,113,10
30,114,9
30,115,9
30,116,8
30,117,9
31,0,10
31,1,20
31,2,19
31,3,12
31,13,9
31,19,8
31,20,7
31,21,7
31,22,9
31,23,10
31,41,10
31,42,7
31,43,9
31,77,7
31,78,8
31,108,9
31,111,10
31,112,9
31,113,10
31,114,11
31,115,10
31,116,8
31,117,8
31,118,8
32,1,21
32,2,22
32,3,16
32,13,8
32,14,7
32,15,4
32,16,4
32,21,9
32,22,8
32,43,5
32,44,12
32,77,7
32,108,9
32,109,8
32,111,9
32,112,10
32,113,10
32,114,10
32,115,11
32,116,10
32,117,9
32,118,9
33,1,20
33,2,22
33,3,20
33,14,7
33,15,4
33,16,10
33,17,8
33,18,4
33,24,5
33,25,9
33,26,7
33,68,4
33,69,8
33,70,7
33,75,7
33,111,7
33,112,9
33,113,8
33,114,10
33,115,12
33,116,8
33,117,9
33,118,8
33,119,7
34,1,19
34,2,21
34,3,21
34,4,16
34,18,9
34,19,10
34,20,4
34,24,9
34,25,7
34,26,8
34,36,4
34,51,7
34,52,5
34,75,7
34,111,9
34,112,10
34,113,10
34,114,8
34,115,8
34,116,8
34,117,9
34,118,10
34,119,8
35,1,15
35,2,20
35,3,21
35,4,14
35,18,4
35,19,7
35,23,8
35,24,9
35,25,7
35,35,10
35,36,10
35,37,7
35,38,4
35,52,10
35,53,7
35,74,7
35,75,7
35,85,5
35,111,9
35,112,10
35,113,9
35,114,8
35,115,8
35,116,8
35,117,9
35,118,10
35,119,8
36,1,12
36,2,19
36,3,19
36,4,13
36,19,4
36,20,4
36,23,7
36,37,10
36,38,9
36,39,9
36,40,8
36,41,10
36,42,4
36,43,5
36,44,4
36,45,4
36,46,4
36,53,4
36,54,4
36,65,13
36,66,13
36,67,12
36,68,10
36,69,5
36,70,7
36,74,8
36,75,8
36,111,10
36,112,9
36,113,10
36,114,8
36,115,8
36,116,12
36,117,9
36,118,9
36,119,8
37,2,18
37,3,19
37,4,11
37,18,9
37,19,9
37,23,5
37,30,4
37,31,4
37,41,9
37,42,9
37,43,8
37,44,9
37,45,9
37,46,9
37,47,8
37,49,4
37,53,15
37,54,9
37,55,8
37,64,10
37,65,12
37,66,11
37,67,12
37,74,5
37,75,7
37,76,4
37,81,7
37,112,12
37,113,9
37,114,11
37,115,10
38,2,16
38,17,4
38,18,10
38,19,9
38,23,7
38,25,5
38,31,8
38,34,8
38,35,4
38,36,5
38,47,8
38,48,10
38,49,9
38,50,9
38,52,13
38,53,16
38,54,13
38,55,12
38,64,9
38,65,12
38,66,12
38,67,10
38,81,11
38,82,10
38,83,4
39,16,4
39,17,9
39,18,4
39,23,8
39,24,5
39,25,8
39,31,8
39,34,5
39,35,5
39,36,5
39,42,7
39,43,4
39,44,8
39,52,15
39,53,15
39,54,12
39,55,8
39,58,11
39,59,12
39,60,11
39,64,9
39,65,7
39,66,7
39,81,13
39,82,11
39,83,9
40,16,5
40,17,7
40,18,5
40,23,7
40,25,7
40,31,9
40,34,7
40,43,10
40,44,9
40,45,9
40,47,10
40,48,9
40,55,10
40,56,4
40,57,5
40,58,19
40,59,17
40,60,12
40,64,8
40,65,7
40,66,7
40,81,10
40,82,11
40,83,11
41,1,8
41,2,16
41,3,12
41,16,4
41,17,7
41,23,8
41,25,4
41,30,5
41,31,8
41,34,10
41,37,4
41,38,4
41,42,4
41,46,4
41,47,9
41,48,4
41,58,19
41,59,19
41,60,11
41,63,4
41,64,8
41,82,18
41,83,10
41,116,12
41,117,7
41,119,5
41,120,7
42,1,11
42,2,17
42,3,14
42,4,11
42,23,7
42,30,11
42,31,7
42,33,8
42,34,10
42,37,4
42,38,10
42,42,9
42,43,4
42,46,4
42,47,10
42,50,5
42,58,5
42,63,4
42,82,18
42,83,13
42,84,5
42,112,11
42,113,10
42,114,10
42,115,9
42,116,10
42,117,8
42,119,9
42,120,10
43,1,17
43,2,17
43,3,14
43,4,10
43,16,8
43,23,4
43,24,4
43,25,5
43,30,9
43,33,9
43,34,8
43,37,4
43,38,8
43,39,7
43,42,12
43,43,10
43,44,4
43,47,7
43,50,7
43,63,4
43,82,12
43,83,7
43,112,11
43,113,12
43,114,11
43,115,12
43,116,11
43,117,7
43,119,5
43,120,9
44,1,16
44,2,16
44,3,12
44,16,9
44,23,7
44,25,5
44,30,9
44,33,9
44,34,7
44,37,5
44,38,10
44,39,8
44,42,12
44,43,10
44,44,7
44,45,7
44,46,4
44,47,4
44,50,7
44,55,4
44,56,12
44,57,10
44,58,7
44,63,11
44,64,8
44,82,17
44,83,10
44,84,9
44,112,10
44,113,11
44,114,10
44,115,11
44,116,11
44,117,9
44,120,10
44,121,9
45,0,7
45,1,16
45,2,15
45,3,11
45,16,9
45,20,7
45,21,8
45,23,8
45,29,13
45,30,8
45,33,4
45,34,5
45,37,7
45,38,9
45,39,4
45,44,10
45,45,8
45,46,9
45,47,9
45,55,10
45,56,12
45,57,10
45,58,7
45,61,9
45,62,9
45,63,12
45,64,11
45,82,18
45,83,16
45,84,12
45,112,11
45,113,11
45,114,10
45,115,11
45,116,10
45,117,11
45,120,10
45,121,9
46,0,12
46,1,11
46,2,8
46,3,7
46,14,4
46,15,8
46,16,9
46,20,8
46,21,8
46,23,9
46,29,10
46,30,10
46,33,8
46,34,9
46,37,9
46,38,10
46,47,8
46,55,11
46,56,12
46,57,9
46,60,12
46,61,10
46,62,9
46,63,4
46,64,11
46,65,9
46,82,14
46,83,16
46,84,11
46,112,9
46,113,8
46,119,9
46,120,4
47,0,13
47,1,15
47,2,4
47,14,4
47,15,8
47,16,9
47,20,9
47,25,5
47,29,11
47,30,9
47,33,9
47,34,8
47,37,10
47,38,10
47,41,8
47,42,10
47,43,8
47,44,4
47,49,12
47,50,11
47,55,12
47,56,11
47,59,11
47,60,12
47,61,9
47,62,8
47,63,6
47,64,5
47,65,6
47,82,12
47,83,11
47,84,9
47,112,8
47,113,7
47,119,12
47,120,9
48,0,13
48,1,15
48,15,4
48,16,9
48,20,10
48,24,7
48,25,8
48,29,8
48,30,5
48,33,9
48,34,5
48,36,5
48,37,7
48,38,4
48,40,8
48,41,9
48,42,9
48,43,8
48,44,10
48,45,10
48,46,9
48,48,5
48,49,11
48,50,11
48,54,16
48,55,12
48,59,12
48,60,10
48,61,11
48,62,7
48,63,4
48,64,6
48,65,10
48,82,11
48,83,11
48,84,17
48,111,9
48,112,10
48,113,11
48,117,12
48,120,9
48,121,7
49,0,11
49,1,13
49,15,8
49,16,8
49,17,8
49,20,10
49,24,10
49,25,10
49,29,10
49,30,10
49,31,8
49,36,8
49,37,7
49,42,4
49,45,8
49,46,9
49,48,7
49,49,11
49,50,11
49,54,16
49,55,13
49,59,7
49,60,10
49,61,11
49,62,11
49,63,4
49,82,12
49,83,10
49,84,14
49,111,8
49,112,9
49,113,10
49,114,12
49,115,9
49,116,9
49,117,13
50,14,8
50,16,8
50,19,8
50,23,5
50,24,12
50,25,12
50,28,9
50,29,8
50,30,11
50,31,12
50,32,10
50,45,4
50,47,5
50,48,12
50,49,4
50,53,15
50,59,12
50,60,12
50,61,12
50,81,8
50,82,19
50,83,11
50,84,7
50,111,8
50,112,10
50,113,11
50,114,12
50,115,8
50,116,9
50,117,12
51,12,4
51,13,8
51,14,9
51,16,8
51,18,8
51,19,8
51,20,4
51,24,9
51,31,11
51,52,13
51,53,13
51,59,11
51,60,11
51,81,11
51,82,19
51,83,11
51,84,9
51,113,9
51,114,9
51,115,9
52,9,4
52,13,8
52,15,8
52,16,9
52,18,7
52,19,9
52,20,4
52,24,8
52,25,4
52,51,12
52,52,12
52,53,11
52,58,11
52,59,12
52,60,11
52,81,11
52,82,13
52,83,11
52,84,9
52,109,7
52,110,9
52,111,8
52,113,9
52,114,9
52,115,9
53,4,8
53,5,9
53,8,7
53,9,8
53,15,10
53,16,8
53,17,7
53,18,8
53,19,4
53,24,8
53,51,11
53,52,12
53,58,12
53,59,10
53,60,11
53,81,11
53,109,7
53,110,8
53,111,10
53,112,9
53,113,8
53,114,9
53,115,9
53,116,10
53,117,8
54,4,8
54,12,9
54,13,9
54,14,8
54,17,7
54,52,4
54,57,8
54,58,12
54,59,10
54,60,12
54,61,10
54,109,9
54,110,9
54,111,8
54,112,9
54,113,8
54,114,10
54,115,9
54,116,10
54,117,10
54,118,8
55,11,8
55,16,9
55,17,10
55,24,4
55,55,12
55,56,8
55,60,9
55,109,8
55,110,8
55,111,9
55,112,10
55,113,10
55,114,8
55,115,9
55,116,9
55,117,9
55,118,8
56,8,8
56,9,8
56,10,7
56,11,9
56,13,7
56,15,10
56,16,10
56,23,5
56,24,8
56,55,11
56,56,10
56,75,8
56,89,9
56,90,7
56,93,4
56,95,5
56,96,12
56,97,12
56,109,9
56,110,9
56,111,9
56,112,8
56,113,9
56,114,9
56,115,10
56,116,8
56,117,9
57,3,8
57,4,8
57,7,4
57,8,5
57,9,9
57,10,9
57,14,8
57,15,9
57,55,8
57,56,8
57,72,4
57,73,4
57,74,7
57,75,7
57,76,3
57,89,10
57,90,12
57,92,7
57,93,7
57,96,12
57,97,13
57,109,8
57,110,10
57,111,9
57,112,9
57,113,10
57,114,8
57,115,9
57,116,9
57,117,9
58,3,8
58,4,4
58,7,8
58,8,9
58,11,9
58,12,10
58,13,4
58,51,5
58,52,7
58,55,4
58,64,9
58,65,10
58,69,7
58,70,4
58,72,3
58,74,4
58,76,4
58,77,2
58,89,11
58,90,12
58,92,5
58,93,7
58,95,5
