x,y,height
0,27,10
0,28,8
0,31,9
0,32,10
0,36,7
0,37,8
0,38,8
0,39,7
0,40,7
0,41,4
0,52,7
0,53,12
0,54,11
0,55,13
0,58,8
0,59,8
0,65,4
0,71,10
0,73,8
0,76,7
0,85,8
0,86,10
0,92,8
0,93,9
0,97,4
0,98,8
1,26,9
1,27,9
1,28,9
1,32,8
1,33,8
1,34,8
1,35,8
1,36,8
1,37,9
1,40,8
1,41,4
1,52,7
1,53,11
1,54,9
1,55,11
1,56,8
1,58,9
1,59,12
1,65,9
1,66,8
1,71,9
1,86,8
1,87,5
1,90,10
1,97,11
1,98,11
1,99,8
2,26,8
2,27,8
2,28,8
2,33,8
2,34,5
2,40,7
2,41,9
2,42,4
2,55,9
2,56,8
2,59,11
2,60,9
2,66,9
2,71,4
2,77,4
2,90,9
2,91,8
2,97,12
2,98,13
2,99,13
2,100,13
3,26,7
3,27,8
3,28,9
3,41,9
3,42,5
3,60,12
3,61,12
3,66,8
3,67,9
3,70,7
3,71,5
3,73,9
3,74,8
3,75,4
3,77,7
3,78,8
3,87,8
3,88,8
3,91,8
3,92,7
3,97,13
3,98,16
3,99,17
3,100,16
3,101,8
4,27,8
4,28,7
4,32,4
4,36,4
4,37,4
4,38,4
4,41,7
4,42,8
4,56,8
4,57,10
4,60,11
4,61,11
4,62,12
4,67,9
4,70,4
4,73,9
4,74,9
4,78,10
4,79,7
4,88,10
4,89,5
4,92,8
5,26,5
5,27,10
5,28,8
5,29,7
5,33,10
5,34,9
5,35,4
5,36,7
5,37,9
5,38,8
5,41,7
5,42,8
5,43,4
5,48,14
5,49,16
5,56,8
5,57,7
5,58,8
5,61,15
5,62,10
5,67,4
5,68,4
5,71,4
5,72,8
5,73,8
5,76,4
5,78,9
5,79,8
5,88,8
5,89,8
5,92,8
6,27,7
6,28,7
6,29,8
6,33,12
6,34,8
6,35,7
6,38,7
6,39,7
6,41,5
6,42,4
6,43,4
6,44,4
6,48,16
6,49,14
6,50,12
6,57,8
6,58,9
6,61,13
6,62,13
6,63,10
6,66,7
6,67,4
6,68,9
6,69,9
6,71,4
6,72,8
6,74,4
6,75,4
6,76,9
6,79,9
7,27,5
7,28,7
7,29,7
7,33,4
7,34,8
7,35,5
7,38,8
7,39,10
7,43,11
7,44,9
7,48,4
7,49,14
7,50,15
7,58,7
7,59,7
7,62,11
7,63,11
7,64,7
7,65,7
7,66,8
7,67,8
7,68,8
7,69,8
7,73,4
7,74,4
7,75,8
8,28,9
8,29,10
8,30,8
8,34,8
8,35,8
8,38,4
8,39,9
8,40,4
8,43,12
8,44,11
8,49,16
8,50,16
8,51,15
8,58,8
8,59,7
8,62,11
8,63,9
8,64,9
8,65,9
8,66,9
8,67,9
8,68,7
8,69,7
8,72,4
8,73,7
8,74,8
8,75,9
8,79,4
8,80,8
8,81,7
8,82,4
8,96,11
8,97,11
8,102,12
8,103,8
9,28,5
9,29,8
9,30,7
9,34,10
9,35,8
9,36,8
9,39,8
9,40,8
9,43,12
9,44,10
9,50,14
9,51,15
9,52,10
9,58,8
9,59,7
9,64,8
9,65,9
9,66,9
9,67,10
9,68,11
9,72,10
9,73,10
9,74,11
9,75,10
9,76,5
9,77,7
9,78,10
9,79,9
9,80,11
9,81,11
9,82,8
9,83,4
9,97,10
9,98,8
9,99,4
9,102,12
9,103,9
9,104,8
9,105,8
10,29,12
10,30,10
10,31,8
10,34,4
10,35,5
10,36,8
10,40,8
10,43,8
10,44,7
10,50,16
10,51,15
10,52,12
10,59,4
10,60,7
10,67,9
10,68,12
10,69,8
10,70,8
10,72,7
10,73,9
10,74,10
10,75,11
10,76,9
10,77,9
10,78,11
10,79,9
10,97,7
10,98,8
10,99,7
10,105,8
11,30,5
11,31,7
11,35,9
11,36,9
11,40,5
11,43,5
11,44,7
11,45,8
11,50,15
11,51,14
11,52,16
11,53,4
11,59,7
11,60,8
11,61,8
11,67,12
11,68,12
11,69,9
11,70,10
11,73,9
11,74,10
11,75,9
11,91,7
11,92,4
11,94,8
11,95,7
11,96,5
11,97,5
11,98,7
11,106,9
11,107,12
11,108,4
12,30,4
12,31,9
12,35,7
12,36,8
12,37,5
12,40,7
12,44,9
12,45,8
12,51,16
12,52,12
12,60,8
12,61,7
12,67,14
12,68,12
12,69,9
12,70,9
12,91,10
12,92,4
12,94,7
12,95,7
12,96,5
12,97,7
12,107,12
12,108,12
12,109,13
13,31,7
13,32,8
13,36,9
13,37,7
13,38,4
13,40,9
13,41,9
13,44,4
13,45,8
13,46,5
13,60,5
13,61,7
13,62,8
13,68,13
13,96,7
13,97,8
13,108,12
13,109,12
13,115,12
13,116,11
14,31,8
14,32,7
14,33,9
14,36,8
14,37,9
14,38,7
14,40,8
14,41,8
14,42,4
14,45,7
14,46,10
14,53,8
14,61,7
14,62,8
14,95,4
14,96,5
14,97,7
14,109,13
14,110,12
14,111,8
14,114,4
14,115,12
14,116,12
15,30,4
15,31,8
15,32,8
15,33,9
15,36,8
15,37,7
15,38,5
15,40,7
15,41,4
15,42,4
15,45,8
15,46,9
15,47,4
15,53,7
15,60,4
15,61,9
15,62,7
15,74,11
15,85,10
15,86,11
15,87,9
15,96,4
15,110,9
15,111,12
15,112,10
15,115,9
15,116,10
15,117,10
15,126,7
15,127,12
16,32,7
16,33,4
16,34,4
16,37,8
16,38,8
16,39,7
16,40,7
16,55,10
16,56,7
16,57,11
16,58,13
16,59,12
16,60,8
16,74,12
16,75,13
16,76,16
16,85,10
16,86,10
16,87,7
16,111,11
16,112,11
16,113,7
16,116,12
16,117,12
16,127,9
17,32,7
17,33,7
17,34,7
17,37,9
17,38,9
17,39,7
17,54,11
17,55,13
17,56,12
17,57,11
17,58,13
17,59,11
17,66,5
17,67,4
17,69,4
17,74,8
17,75,4
17,76,11
17,80,7
17,85,10
17,86,11
17,87,7
17,112,12
17,113,5
17,116,10
17,117,11
17,118,4
18,33,8
18,34,8
18,35,4
18,37,7
18,38,7
18,41,4
18,55,12
18,56,12
18,57,11
18,66,5
18,69,7
18,70,7
18,75,7
18,79,12
18,80,11
18,81,12
18,85,11
18,86,10
18,87,11
18,88,9
18,117,9
18,118,13
19,34,7
19,35,4
19,40,12
19,41,9
19,50,9
19,51,11
19,52,7
19,55,13
19,56,13
19,61,4
19,68,4
19,69,5
19,70,5
19,77,12
19,78,10
19,79,10
19,80,9
19,81,12
19,85,10
19,86,9
19,87,8
19,88,10
19,109,8
19,114,9
19,115,8
19,118,12
20,33,7
20,34,8
20,35,4
20,36,4
20,39,8
20,40,11
20,41,11
20,50,8
20,51,10
20,52,7
20,60,5
20,61,9
20,68,4
20,69,4
20,77,11
20,78,11
20,79,11
20,80,7
20,85,9
20,86,11
20,87,8
20,88,9
20,103,5
20,108,8
20,109,7
20,114,9
20,115,7
20,119,9
20,120,7
21,33,5
21,34,5
21,35,7
21,36,8
21,37,8
21,40,10
21,41,10
21,42,10
21,46,8
21,49,11
21,50,8
21,51,4
21,52,8
21,57,11
21,58,11
21,59,4
21,85,10
21,86,10
21,87,9
21,88,8
21,103,7
21,104,5
21,107,7
21,108,7
21,109,9
21,110,4
21,119,11
21,120,12
22,35,7
22,36,9
22,37,9
22,38,7
22,41,8
22,42,12
22,43,11
22,46,10
22,47,9
22,48,8
22,49,10
22,50,7
22,57,9
22,58,10
22,59,7
22,104,8
22,105,9
22,108,7
22,109,9
22,110,8
22,111,4
22,120,9
23,35,9
23,36,9
23,37,10
23,38,7
23,39,5
23,42,8
23,43,9
23,44,7
23,45,8
23,46,8
23,47,10
23,57,9
23,58,9
23,69,4
23,70,9
23,81,8
23,82,7
23,104,7
23,105,8
23,109,8
23,110,7
23,111,7
24,35,7
24,36,8
24,37,9
24,38,8
24,39,9
24,40,8
24,43,10
24,44,9
24,45,7
24,46,8
24,51,7
24,52,8
24,53,9
24,54,8
24,55,7
24,58,8
24,59,8
24,69,4
24,70,12
24,71,11
24,74,8
24,81,7
24,82,4
24,104,7
24,105,8
24,110,9
24,111,7
24,112,7
24,122,7
25,37,7
25,38,9
25,39,9
25,40,10
25,49,5
25,50,5
25,51,4
25,52,8
25,53,7
25,55,7
25,56,8
25,70,12
25,71,12
25,74,10
25,75,5
25,105,9
25,106,8
25,111,8
25,112,10
25,122,10
25,123,5
26,38,7
26,39,8
26,40,11
26,41,10
26,47,7
26,48,7
26,49,7
26,50,5
26,51,4
26,54,4
26,56,7
26,70,8
26,71,5
26,74,10
26,75,8
26,106,8
26,109,4
26,110,4
26,111,9
26,118,5
26,119,7
26,122,5
26,123,10
26,124,4
27,39,5
27,46,10
27,47,9
27,48,7
27,49,4
27,56,8
27,57,7
27,70,7
27,71,9
27,74,5
27,86,10
27,87,7
27,88,8
27,89,11
27,106,4
27,108,7
27,109,8
27,110,4
27,119,11
27,120,7
27,123,9
28,42,9
28,43,9
28,46,11
28,47,9
28,48,8
28,49,8
28,70,5
28,71,7
28,85,12
28,86,8
28,87,8
28,88,8
28,107,7
28,108,8
28,109,9
28,118,8
28,119,13
28,120,11
28,124,7
28,125,5
29,40,8
29,42,12
29,43,12
29,44,11
29,47,11
29,48,11
29,49,9
29,57,8
29,70,4
29,71,8
29,72,5
29,83,9
29,84,8
29,85,9
29,86,9
29,87,7
29,116,8
29,117,9
29,121,7
29,124,9
29,125,11
29,126,13
30,41,9
30,42,12
30,43,10
30,44,9
30,45,10
30,48,12
30,49,11
30,50,10
30,57,8
30,62,4
30,63,7
30,70,4
30,71,7
30,72,4
30,84,8
30,85,7
30,108,8
30,109,8
30,113,13
30,114,12
30,115,12
30,117,9
30,120,4
30,121,7
30,125,11
30,126,13
30,127,4
31,43,11
31,44,10
31,45,12
31,46,8
31,49,11
31,50,10
31,51,9
31,58,4
31,62,9
31,63,9
31,64,4
31,71,9
31,72,9
31,92,8
31,93,8
31,108,8
31,113,12
31,114,11
31,118,8
31,121,4
31,122,11
31,126,12
31,127,9
32,44,10
32,45,10
32,46,10
32,50,11
32,51,11
32,52,8
32,59,4
32,63,9
32,64,9
32,71,8
