x,y,heigth
12,98,4
12,99,4
13,94,6
13,95,6
13,96,5
13,97,5
13,98,4
13,99,4
14,95,5
14,96,5
14,97,5
14,98,6
14,99,5
14,100,5
15,91,4
15,95,5
15,96,5
15,97,7
15,98,9
15,99,5
15,100,5
16,89,7
16,90,8
16,91,8
16,92,8
16,95,6
16,96,5
16,97,8
16,98,8
16,99,6
16,100,6
16,101,5
17,89,5
17,90,8
17,91,8
17,92,8
17,95,5
17,96,5
17,97,6
17,98,8
17,99,8
17,100,4
17,101,5
18,89,10
18,90,8
18,91,7
18,92,8
18,93,8
18,95,8
18,96,4
18,97,5
18,98,8
18,99,7
18,100,4
18,101,5
19,90,8
19,91,8
19,92,9
19,93,9
19,96,4
19,97,5
19,98,5
19,99,8
20,90,6
20,91,7
20,92,9
20,93,7
20,97,5
20,98,6
21,91,8
21,92,7
21,93,8
22,91,7
22,92,8
22,93,9
23,91,8
23,92,8
23,93,9
23,94,8
51,63,8
51,64,10
52,63,8
52,64,11
53,64,10
54,64,9
55,41,6
55,42,5
56,41,4
56,42,6
57,42,7
58,42,9
58,43,5
59,43,8
62,65,4
63,65,5
64,65,4
64,66,4
64,67,4
64,68,5
65,66,4
