x,y,heigth
0,101,9
0,102,12
0,103,13
0,104,10
0,105,2
0,106,4
1,102,12
1,103,12
1,104,11
1,105,3
1,106,3
1,107,4
2,102,8
2,103,13
2,104,12
2,105,10
3,103,12
3,104,11
3,105,10
3,106,4
4,103,12
4,104,12
4,105,12
4,107,4
5,103,10
5,104,13
5,105,12
5,107,4
6,103,11
6,104,13
6,105,12
6,106,4
6,107,4
7,104,12
7,105,12
7,106,9
7,107,4
8,104,12
8,105,13
8,107,4
9,107,4
11,102,8
11,103,6
12,101,8
12,102,6
12,103,8
12,106,4
13,101,7
13,102,7
14,101,12
14,102,5
43,11,4
43,12,7
43,13,7
43,14,4
44,11,8
44,12,16
44,13,10
44,14,9
45,11,14
45,12,14
45,13,11
45,14,8
45,24,4
46,11,8
46,12,10
46,13,10
47,8,10
47,9,4
47,12,7
47,17,7
47,18,4
48,7,11
48,8,13
48,9,12
48,10,10
48,14,4
48,15,16
48,16,16
48,17,14
48,18,5
49,5,4
49,6,4
49,7,14
49,8,14
49,9,12
49,15,16
49,16,14
49,17,15
50,5,5
50,6,4
50,7,15
50,8,13
50,16,4
50,19,12
50,20,13
51,5,7
51,6,14
51,7,13
51,13,4
51,19,10
51,20,16
51,21,13
51,32,4
51,33,10
51,77,13
51,78,15
51,79,55
52,3,4
52,6,7
52,13,15
52,14,16
52,20,16
52,21,16
52,22,12
52,33,7
52,75,12
52,76,11
52,77,13
52,78,55
52,79,55
52,80,54
53,3,9
53,4,12
53,11,15
53,12,16
53,13,15
53,20,15
53,21,15
53,22,14
53,23,10
53,33,7
53,36,9
53,75,10
53,76,11
53,77,12
53,78,54
53,79,55
53,80,54
54,3,7
54,4,11
54,5,12
54,10,16
54,11,16
54,12,16
54,15,12
54,16,13
54,17,10
54,21,14
54,22,19
54,23,15
54,28,7
54,29,7
54,30,5
54,32,7
54,33,7
54,35,4
54,36,7
54,75,12
54,76,11
54,77,12
54,78,12
54,79,10
55,4,8
55,5,12
55,6,11
55,10,16
55,11,15
55,15,12
55,16,14
55,17,13
55,22,15
55,23,15
55,24,12
55,28,4
55,29,7
55,30,6
55,31,4
55,32,8
55,33,6
55,35,7
55,36,6
55,75,55
55,76,55
55,77,10
55,78,12
55,79,12
55,80,10
56,5,10
56,6,16
56,7,14
56,10,11
56,11,5
56,16,11
56,17,13
56,22,7
56,23,19
56,24,14
56,31,4
56,32,7
56,33,8
56,36,8
56,74,55
56,75,54
56,76,55
56,77,10
56,78,12
56,79,12
56,80,10
57,6,18
57,7,19
57,8,12
57,13,13
57,14,8
57,23,16
57,24,15
57,25,12
57,33,8
57,36,7
57,74,9
57,75,56
57,76,55
57,77,9
57,78,12
57,79,25
57,80,24
57,81,9
58,7,11
58,8,12
58,12,9
58,13,12
58,14,10
58,19,13
58,20,12
58,24,18
58,25,13
58,74,9
58,75,10
58,76,11
58,77,9
58,78,10
58,79,25
58,80,24
58,81,25
59,10,11
59,13,14
59,14,9
59,19,12
59,20,13
59,21,12
59,25,4
59,37,4
59,38,5
59,77,9
59,78,5
59,79,25
59,80,25
59,81,11
60,9,14
60,10,14
60,11,11
60,16,4
60,17,7
60,20,10
60,21,12
60,34,8
60,35,9
60,36,7
60,38,9
60,39,7
60,79,4
60,80,11
60,81,8
61,9,11
61,10,12
61,16,13
61,17,10
61,18,11
61,22,17
61,23,17
61,37,4
61,38,10
61,39,11
61,80,9
61,81,10
62,12,14
62,13,14
62,16,14
62,17,13
62,18,11
62,21,14
62,22,17
62,23,17
62,38,9
62,39,8
63,12,15
63,13,16
63,17,13
63,18,10
63,20,14
63,21,17
63,22,18
63,35,8
63,36,7
63,37,4
63,38,9
63,39,8
63,74,11
64,15,16
64,18,7
64,19,10
64,20,16
64,21,18
64,34,8
64,35,7
64,36,8
64,37,7
64,38,9
64,62,8
64,74,20
64,75,25
64,76,22
65,14,16
65,15,15
65,16,16
65,19,12
65,20,17
65,38,10
65,57,5
65,58,4
65,59,5
65,62,4
65,63,5
65,74,20
65,75,21
65,76,20
65,77,29
66,15,15
66,38,7
66,39,7
66,57,7
66,58,7
66,59,7
66,60,7
66,61,7
66,62,8
66,63,8
66,73,16
66,74,15
66,75,20
66,76,21
66,77,20
66,78,20
66,79,27
67,17,14
67,18,14
67,36,4
67,55,9
67,56,8
67,57,10
67,58,9
67,59,10
67,60,10
67,61,9
67,62,11
67,63,10
67,64,9
67,65,8
67,73,15
67,74,14
67,75,22
67,76,21
67,77,20
67,78,20
67,79,26
67,80,10
68,16,4
68,17,15
68,18,14
68,19,5
68,34,4
68,35,5
68,36,7
68,37,8
68,38,4
68,55,7
68,56,7
68,57,9
68,58,8
68,59,10
68,60,10
68,61,9
68,62,10
68,63,9
68,64,8
68,65,8
68,66,5
68,72,15
68,73,15
68,74,15
68,75,18
68,76,11
68,77,11
68,78,17
68,79,15
69,18,4
69,34,8
69,35,9
69,36,8
69,37,7
69,38,8
69,60,7
69,64,7
69,65,6
69,66,8
69,72,17
69,73,14
69,74,15
70,64,6
70,65,5
70,66,9
70,67,5
70,73,13
71,51,11
71,64,8
71,65,5
71,66,9
71,67,7
72,51,11
72,52,11
72,65,8
72,78,16
72,79,21
73,51,11
73,52,12
73,78,14
73,79,14
74,42,4
74,43,7
74,51,11
74,52,12
74,60,12
74,61,9
74,75,20
74,76,20
74,77,20
74,78,16
74,79,19
75,42,9
75,43,7
75,44,4
75,45,4
75,46,4
75,51,11
75,52,11
75,55,10
75,59,8
75,60,13
75,61,13
75,62,11
75,63,12
75,65,9
75,66,11
75,67,12
75,68,12
75,69,4
75,75,16
75,76,21
75,77,20
75,78,14
75,79,20
75,80,17
75,81,13
76,42,10
76,43,8
76,44,8
76,45,5
76,46,5
76,47,4
76,51,11
76,52,8
76,55,13
76,60,13
76,61,12
76,62,13
76,63,4
76,65,7
76,66,11
76,67,11
76,68,12
76,69,4
76,75,9
76,76,17
76,77,18
76,78,18
76,79,20
76,80,20
76,81,14
76,82,12
77,42,7
77,43,5
77,44,8
77,45,5
77,46,4
77,51,12
77,52,10
77,55,14
77,78,15
77,79,18
77,80,16
77,81,15
78,40,8
78,51,12
78,52,10
78,55,13
78,56,11
78,60,7
78,77,16
78,78,14
78,79,14
78,80,11
79,39,7
79,40,11
79,42,7
79,43,8
79,45,10
79,51,11
79,52,9
79,55,13
79,56,12
79,59,8
79,60,16
79,61,18
79,62,10
79,67,5
79,68,9
79,69,7
79,70,9
79,71,4
79,77,15
79,78,16
79,79,12
79,80,10
80,39,9
80,40,8
80,42,8
80,43,8
80,45,7
80,46,8
80,55,5
80,56,7
80,57,7
80,60,17
80,61,19
80,62,12
80,66,4
80,67,4
80,68,7
80,69,7
80,70,9
80,71,4
80,77,7
80,78,8
81,37,4
81,38,10
81,39,9
81,41,9
81,42,8
81,44,8
81,45,7
81,59,17
81,60,18
81,61,10
82,1,26
82,2,24
82,38,7
82,39,7
82,41,10
82,42,9
82,44,7
82,45,6
82,51,7
82,52,8
82,53,4
82,54,4
82,55,12
82,56,12
82,59,18
82,60,18
82,67,8
82,68,8
82,69,8
83,0,26
83,1,26
83,2,25
83,3,17
83,41,5
83,44,8
83,51,12
83,52,12
83,53,12
83,54,12
83,55,12
83,56,12
83,57,8
83,59,18
83,60,19
83,69,9
84,0,26
84,1,26
84,2,28
84,3,26
84,4,20
84,12,28
84,13,8
84,28,4
84,29,9
84,30,7
84,59,13
84,60,17
84,66,4
85,0,27
85,1,29
85,2,29
85,3,27
85,4,24
85,5,19
85,12,30
85,13,24
85,14,21
85,15,14
85,16,11
85,28,9
85,29,17
85,30,16
85,31,15
85,53,8
85,66,7
85,67,8
85,68,8
85,69,9
85,70,7
86,0,26
86,1,27
86,2,29
86,3,27
86,4,21
86,5,19
86,13,20
86,14,20
86,15,20
86,16,15
86,17,11
86,20,4
86,22,20
86,28,10
86,29,20
86,30,20
86,31,16
86,32,12
86,39,4
86,40,10
86,43,11
86,44,8
86,53,9
86,68,4
86,69,4
87,0,26
87,1,25
87,2,24
87,3,22
87,4,19
87,14,19
87,15,20
87,16,20
87,17,16
87,20,7
87,21,21
87,22,23
87,23,22
87,29,17
87,30,20
87,31,20
87,32,15
87,33,12
87,40,10
87,43,10
87,44,9
87,49,8
87,50,4
87,51,4
87,53,8
87,55,7
87,56,8
87,57,9
87,58,9
87,59,4
87,64,11
87,65,8
88,0,24
88,1,25
88,2,20
88,3,18
88,7,23
88,8,22
88,11,7
88,15,19
88,16,21
88,17,18
88,18,13
88,21,5
88,22,23
88,23,23
88,30,20
88,31,19
88,32,15
88,33,14
88,39,7
88,40,10
88,43,10
88,44,8
88,48,9
88,49,7
88,50,7
88,51,7
88,53,8
88,55,4
88,58,4
88,59,5
88,64,11
88,65,9
89,1,22
89,2,20
89,7,24
