x,y,height
0,117,4
0,118,4
0,121,7
0,122,5
1,118,7
1,119,7
1,122,7
2,118,8
2,119,8
2,122,4
2,123,7
2,124,4
2,125,10
2,126,4
3,119,7
3,123,5
3,125,11
3,126,8
4,120,7
4,121,4
4,123,4
5,119,7
5,120,8
5,121,8
5,127,4
6,119,7
6,124,4
6,125,4
6,126,7
6,127,5
7,122,4
7,123,4
7,124,4
8,120,7
8,122,4
9,80,8
10,88,8
10,125,4
10,127,7
11,88,7
11,121,5
11,122,8
12,121,8
13,79,11
13,80,11
14,80,11
14,81,11
15,81,11
15,82,11
16,82,11
16,83,11
17,83,11
20,98,8
21,59,5
21,98,9
21,99,7
22,58,5
22,98,4
22,99,5
34,76,8
34,77,9
34,78,9
35,90,4
36,67,7
36,89,7
36,90,4
36,91,5
37,89,4
37,90,5
37,91,6
38,89,6
38,90,5
38,91,6
38,92,5
39,90,5
39,91,5
39,92,6
39,93,4
40,90,5
40,91,5
40,92,5
40,93,5
40,94,6
41,91,5
41,92,5
41,93,5
41,94,4
41,95,4
42,91,5
42,92,5
42,93,4
42,94,9
43,93,4
52,90,4
52,91,9
52,92,8
53,91,7
53,92,7
58,93,7
58,94,8
58,95,9
59,92,5
59,93,8
59,94,8
59,95,9
59,96,4
60,93,8
60,94,9
60,95,7
61,93,5
61,94,4
62,125,8
62,127,4
63,125,8
63,126,9
64,123,5
64,124,8
65,123,7
65,124,8
66,121,4
66,123,9
67,120,4
67,121,7
67,122,8
68,119,7
68,120,9
75,126,5
77,127,9
