x,y,heigth
0,6,7
0,7,7
0,10,4
0,11,7
0,12,4
0,13,4
0,14,9
0,15,5
0,18,5
0,21,11
0,22,11
0,23,11
0,50,4
0,51,7
0,52,9
0,53,7
0,54,7
0,55,8
0,56,4
0,57,7
0,58,7
0,84,11
0,85,11
0,86,12
0,87,7
0,88,8
0,89,7
0,90,5
0,91,5
0,92,5
0,100,15
0,101,16
0,102,14
0,103,15
0,104,10
1,7,8
1,11,5
1,14,9
1,15,10
1,18,8
1,19,8
1,22,11
1,23,10
1,24,7
1,54,7
1,55,7
1,56,8
1,57,5
1,58,4
1,85,10
1,86,12
1,87,7
1,88,7
1,89,8
1,90,5
1,91,5
1,92,4
1,102,14
2,15,10
2,18,7
2,19,9
2,20,5
2,22,9
2,23,11
2,24,9
2,55,4
2,56,5
2,57,5
2,86,11
2,87,13
2,88,9
2,89,7
2,90,5
2,91,5
2,92,5
3,0,9
3,15,5
3,16,8
3,19,11
3,20,12
3,23,10
3,24,10
3,25,11
3,86,13
3,87,13
3,88,10
3,89,7
3,91,4
3,92,4
3,106,9
4,0,8
4,15,4
4,16,9
4,19,8
4,20,10
4,21,7
4,23,7
4,24,11
4,25,14
4,31,4
4,61,5
4,62,5
4,86,12
4,87,13
4,88,10
4,98,4
4,99,8
4,100,10
4,105,15
4,106,13
5,0,7
5,1,9
5,16,11
5,17,11
5,20,8
5,21,10
5,24,10
5,25,13
5,26,12
5,31,8
5,32,7
5,60,4
5,61,7
5,86,13
5,87,13
5,88,11
5,89,8
5,90,5
5,91,7
5,92,10
5,93,10
5,94,9
5,95,12
5,96,8
5,97,4
5,98,11
5,99,11
5,100,13
5,101,12
5,102,15
5,103,15
5,104,16
5,105,14
5,106,15
5,107,14
6,1,9
6,16,12
6,17,11
6,18,5
6,20,10
6,21,12
6,22,10
6,25,9
6,26,15
6,27,10
6,31,8
6,86,14
6,87,14
6,88,11
6,89,9
6,90,8
6,91,9
6,92,11
6,93,11
6,94,12
6,95,12
6,96,12
6,97,12
6,98,12
6,99,14
6,100,13
6,101,14
6,102,16
6,103,15
6,104,16
6,105,16
6,106,16
6,107,17
6,108,13
7,16,10
7,17,12
7,18,11
7,21,11
7,22,10
7,25,8
7,26,17
7,27,16
7,86,13
7,87,13
7,88,8
7,89,8
7,90,9
7,91,8
7,92,10
7,93,9
7,94,10
7,95,11
7,96,11
7,97,12
7,98,12
7,99,12
7,100,12
7,101,11
7,102,4
7,103,5
7,104,15
7,105,16
7,106,16
7,107,16
7,108,14
8,3,8
8,17,11
8,18,10
8,19,8
8,26,16
8,27,16
8,28,12
8,32,9
8,90,4
8,91,4
8,92,5
8,94,4
8,95,8
8,96,9
8,97,10
8,98,12
8,99,11
8,100,10
8,105,4
8,106,14
8,107,16
8,108,15
8,109,13
9,0,7
9,3,8
9,4,8
9,5,9
9,6,9
9,17,11
9,18,10
9,19,11
9,26,7
9,27,14
9,28,12
9,31,7
9,32,11
9,33,8
9,98,9
9,99,12
9,100,10
9,106,5
9,107,15
9,108,16
9,109,14
10,0,8
10,1,7
10,18,7
10,19,14
10,20,10
10,23,8
10,24,8
10,27,9
10,28,10
10,29,11
10,32,10
10,33,8
10,34,7
10,107,14
10,108,15
10,109,15
10,110,14
11,0,7
11,1,9
11,18,12
11,22,11
11,23,13
11,24,7
11,26,7
11,27,14
11,28,14
11,32,9
11,33,7
11,89,4
11,90,7
11,91,8
11,106,4
11,107,14
11,108,14
11,109,14
12,0,7
12,1,7
12,4,8
12,5,8
12,19,7
12,23,8
12,24,7
12,27,9
12,28,13
12,29,11
12,32,8
12,33,7
12,34,4
12,89,7
12,90,9
12,91,9
12,92,4
12,93,4
12,100,4
12,107,11
12,108,14
12,109,14
12,110,14
13,1,9
13,2,8
13,4,8
13,6,4
13,19,7
13,20,8
13,28,13
13,29,14
13,30,11
13,33,9
13,34,5
13,75,9
13,76,7
13,89,9
13,90,9
13,91,9
13,92,4
13,93,4
13,94,4
13,95,4
13,99,9
13,100,10
13,101,8
13,108,17
13,109,13
13,110,13
14,2,8
14,18,7
14,19,14
14,20,10
14,28,11
14,29,13
14,30,12
14,33,9
14,34,11
14,35,8
14,75,10
14,76,9
14,89,8
14,90,9
14,91,7
14,92,4
14,93,4
14,94,5
14,95,7
14,99,9
14,100,8
14,101,8
14,109,14
14,110,13
14,111,13
15,19,5
15,20,9
15,21,8
15,29,10
15,30,12
15,31,11
15,34,11
15,35,9
15,36,4
15,72,7
15,75,11
15,76,12
15,77,9
15,90,4
15,91,4
15,92,4
15,93,4
15,94,4
15,95,7
15,99,4
15,101,4
15,109,12
15,110,13
15,111,13
16,7,8
16,20,7
16,21,8
16,26,10
16,30,14
16,31,14
16,34,10
16,35,12
16,36,5
16,72,5
16,73,5
16,75,4
16,76,12
16,77,12
16,78,9
16,110,8
16,111,11
16,112,9
17,5,9
17,6,9
17,7,8
17,8,4
17,20,4
17,21,8
17,22,7
17,25,11
17,26,12
17,30,12
17,31,14
17,32,11
17,35,11
17,36,8
17,37,4
17,72,4
17,73,5
17,76,9
17,77,12
17,78,13
17,79,9
17,91,8
17,92,8
17,102,9
17,103,9
17,110,4
17,111,5
17,112,5
17,113,5
18,5,7
18,6,8
18,8,7
18,9,4
18,21,10
18,22,8
18,25,9
18,26,10
18,28,9
18,29,9
18,30,8
18,31,12
18,32,12
18,36,9
18,37,9
18,73,5
18,77,4
18,78,13
18,79,13
18,80,4
18,81,4
18,91,9
18,92,10
18,93,8
18,94,7
18,102,9
18,103,10
18,109,4
18,110,5
18,111,4
18,112,5
18,113,4
19,5,8
19,6,8
19,9,8
19,21,9
19,22,8
19,23,8
19,26,7
19,27,11
19,28,10
19,29,10
19,30,7
19,36,10
19,37,10
19,38,5
19,70,4
19,71,5
19,78,12
19,79,11
19,80,4
19,92,17
19,93,12
19,94,8
19,95,7
19,102,9
19,103,8
19,110,5
19,111,6
19,112,6
19,113,5
19,114,4
20,6,4
20,9,7
20,10,4
20,22,9
20,23,7
20,26,11
20,27,12
20,28,10
20,29,8
20,37,10
20,38,7
20,39,4
20,70,5
20,71,4
20,72,5
20,82,11
20,93,10
20,94,9
20,95,10
20,96,7
20,101,10
20,102,9
20,103,10
20,111,4
20,112,4
20,113,5
21,7,5
21,10,9
21,22,8
21,23,7
21,37,8
21,38,7
21,39,7
21,67,7
21,68,5
21,69,6
21,71,4
21,72,6
21,77,7
21,82,12
21,83,12
21,84,12
21,93,9
21,94,12
21,95,8
21,96,10
21,97,7
21,100,12
21,101,8
21,102,9
21,103,9
21,104,4
22,6,7
22,7,8
22,11,8
22,23,4
22,24,4
22,34,12
22,35,10
22,38,7
22,69,5
22,71,4
22,72,4
22,75,9
22,76,11
22,77,13
22,81,12
22,82,12
22,83,12
22,84,12
22,94,11
22,95,9
22,96,10
22,97,8
22,98,4
22,99,9
22,100,9
22,101,8
22,102,9
22,103,12
22,104,5
23,8,7
23,11,8
23,12,8
23,23,7
