x,y,height
0,10,11
0,13,11
0,14,12
0,16,10
0,17,15
0,18,15
0,19,11
0,20,7
0,21,12
0,22,9
0,31,4
0,33,7
0,34,9
0,35,9
0,37,12
0,38,12
0,41,9
0,42,11
0,43,11
0,65,14
0,66,15
0,67,18
0,68,10
0,77,11
0,78,11
0,79,16
0,80,16
0,81,18
0,82,13
0,83,11
0,84,9
0,89,19
0,92,9
0,93,13
0,94,13
0,97,10
0,98,12
0,99,11
0,104,7
0,105,7
0,106,4
0,116,7
0,117,7
0,123,8
0,124,9
1,12,5
1,13,12
1,14,11
1,15,12
1,17,15
1,18,11
1,19,11
1,29,4
1,30,4
1,31,11
1,32,11
1,33,7
1,34,10
1,35,5
1,36,8
1,37,10
1,38,7
1,41,10
1,42,13
1,43,12
1,44,11
1,46,11
1,47,10
1,65,17
1,66,15
1,67,15
1,68,12
1,69,19
1,70,21
1,77,12
1,78,11
1,79,11
1,80,11
1,81,14
1,82,11
1,83,10
1,84,11
1,85,10
1,93,11
1,94,20
1,95,13
1,96,13
1,97,11
1,98,11
1,101,11
1,102,12
1,117,4
1,122,9
1,123,7
1,124,4
1,125,4
2,3,9
2,11,5
2,12,4
2,13,12
2,14,13
2,15,11
2,16,9
2,22,8
2,23,9
2,24,4
2,26,4
2,27,9
2,28,11
2,29,10
2,30,7
2,31,10
2,32,7
2,33,7
2,34,5
2,35,4
2,36,10
2,37,8
2,38,8
2,42,11
2,43,12
2,44,10
2,45,12
2,46,12
2,47,8
2,65,17
2,66,16
2,67,18
2,68,17
2,69,18
2,70,21
2,71,24
2,72,26
2,79,9
2,80,10
2,81,11
2,82,11
2,83,12
2,84,10
2,85,11
2,86,11
2,93,8
2,94,19
2,95,18
2,96,14
2,97,12
2,100,12
2,101,11
2,102,12
2,103,11
2,120,7
2,121,4
3,2,9
3,3,12
3,7,7
3,8,8
3,9,9
3,19,7
3,20,8
3,21,8
3,22,9
3,23,12
3,24,10
3,27,10
3,28,10
3,29,7
3,30,4
3,31,4
3,32,4
3,34,5
3,35,7
3,36,7
3,37,7
3,38,8
3,42,12
3,43,13
3,44,10
3,45,10
3,46,11
3,47,7
3,65,17
3,66,21
3,67,22
3,68,20
3,69,19
3,70,22
3,71,24
3,74,8
3,81,4
3,82,12
3,83,12
3,84,10
3,85,11
3,86,10
3,87,11
3,94,9
3,95,11
3,96,13
3,97,11
3,98,8
3,100,11
3,101,12
3,102,12
3,119,8
3,120,5
4,1,10
4,2,13
4,3,15
4,4,14
4,6,8
4,7,8
4,8,11
4,9,11
4,10,10
4,15,8
4,16,7
4,17,10
4,18,11
4,19,12
4,20,11
4,21,10
4,22,9
4,23,12
4,24,10
4,29,4
4,35,5
4,36,7
4,37,5
4,38,8
4,42,10
4,43,15
4,44,11
4,45,12
4,47,8
4,65,16
4,66,21
4,67,21
4,68,19
4,69,19
4,70,23
4,71,21
4,74,16
4,75,16
4,76,13
4,77,7
4,83,11
4,84,9
4,85,10
4,86,11
4,89,10
4,95,4
4,96,4
4,97,9
4,98,10
4,99,9
4,100,12
4,101,11
4,118,9
4,119,10
4,120,5
4,125,8
4,126,7
5,1,12
5,2,12
5,3,17
5,4,16
5,5,16
5,6,12
5,7,10
5,8,10
5,9,12
5,10,11
5,11,9
5,14,11
5,15,9
5,16,7
5,17,10
5,18,11
5,19,12
5,20,11
5,21,4
5,23,9
5,24,9
5,25,4
5,28,7
5,29,7
5,36,18
5,37,11
5,38,9
5,42,4
5,68,8
5,69,22
5,70,22
5,73,15
5,74,16
5,75,15
5,76,12
5,77,8
5,78,7
5,79,7
5,86,12
5,89,8
5,90,10
5,91,4
5,98,8
5,99,11
5,100,11
5,117,4
5,118,7
5,119,9
5,120,7
5,121,8
5,122,4
5,123,4
5,124,4
5,125,8
5,126,7
6,0,13
6,1,16
6,2,15
6,3,17
6,4,24
6,5,18
6,6,14
6,7,11
6,8,12
6,9,10
6,10,10
6,11,8
6,14,11
6,15,10
6,16,7
6,17,9
6,20,8
6,21,5
6,22,4
6,23,12
6,24,10
6,25,11
6,27,4
6,28,9
6,29,10
6,30,4
6,36,19
6,37,16
6,38,11
6,69,21
6,70,19
6,74,13
6,75,12
6,76,11
6,77,8
6,78,11
6,79,11
6,80,7
6,88,8
6,89,9
6,90,8
6,91,12
6,92,9
6,116,4
6,117,7
6,118,9
6,119,7
6,120,7
6,121,8
6,122,8
6,123,5
6,126,7
6,127,12
7,0,12
7,1,17
7,2,20
7,3,22
7,4,20
7,5,18
7,6,16
7,7,14
7,8,11
7,9,9
7,10,8
7,11,7
7,12,7
7,15,11
7,16,12
7,17,12
7,22,7
7,23,12
7,24,12
7,25,11
7,28,9
7,29,11
7,30,10
7,31,4
7,69,20
7,78,8
7,79,11
7,80,10
7,81,7
7,82,8
7,83,5
7,90,11
7,91,12
7,92,12
7,93,11
7,115,22
7,116,22
7,117,10
7,118,11
7,119,8
7,120,7
7,121,8
7,122,8
7,123,4
7,127,11
8,0,12
8,1,17
8,2,19
8,3,20
8,4,16
8,5,16
8,6,13
8,11,9
8,12,8
8,13,8
8,15,11
8,16,11
8,17,12
8,18,12
8,22,10
8,23,11
8,24,12
8,25,12
8,28,5
8,29,11
8,30,11
8,31,9
8,55,12
8,56,12
8,80,8
8,81,8
8,82,9
8,83,7
8,85,4
8,93,12
8,114,26
8,115,25
8,116,25
8,117,22
8,118,13
8,119,8
8,120,5
8,121,8
8,122,7
8,123,4
8,126,11
8,127,13
9,0,13
9,1,14
9,3,13
9,4,13
9,5,11
