x,y,height
52,103,8
52,104,8
52,105,7
53,83,5
53,103,9
53,104,8
53,105,7
53,106,9
54,84,4
54,102,8
54,103,8
54,104,8
54,105,8
55,84,6
55,101,7
55,102,8
55,103,8
55,104,9
55,105,8
56,85,4
56,101,8
56,102,8
56,103,8
56,104,8
57,85,4
57,100,8
57,101,7
57,102,7
57,103,9
57,104,9
58,98,7
58,99,8
58,100,9
58,101,9
58,102,8
58,103,7
59,86,6
59,98,7
59,99,8
59,100,7
59,101,8
59,102,8
60,99,9
60,100,8
60,101,8
61,87,5
63,90,5
63,91,6
63,92,4
63,93,4
64,90,5
64,91,5
64,92,6
64,93,5
64,97,5
64,98,4
65,87,6
65,90,5
65,91,5
65,92,4
65,93,5
65,94,9
65,95,4
65,96,5
65,97,2
65,98,3
66,87,6
66,90,5
66,91,5
66,92,5
66,93,4
66,94,5
66,95,9
66,96,5
66,97,2
67,91,4
67,92,5
67,93,6
67,94,4
67,95,3
67,96,4
68,86,5
68,91,5
68,92,5
68,93,6
68,94,6
68,95,3
68,96,4
69,86,5
69,91,4
69,92,4
69,93,5
70,85,4
70,92,5
74,85,8
75,84,11
75,85,10
75,86,5
76,84,10
76,85,10
76,86,8
77,83,5
77,84,7
77,85,5
78,83,10
78,84,9
79,82,4
79,83,11
79,84,10
80,83,8
80,84,8
81,0,8
82,4,12
82,5,12
82,6,10
82,7,11
82,10,9
82,11,8
82,12,9
82,13,9
82,14,9
82,15,9
82,16,9
82,17,10
82,18,10
82,29,8
82,30,11
82,31,19
82,32,20
82,33,20
82,34,9
82,35,8
82,36,10
82,45,16
82,46,15
82,47,14
82,48,14
82,49,15
82,50,12
82,51,11
82,82,9
82,83,8
83,5,8
83,6,12
83,7,11
83,8,12
83,11,8
83,12,8
83,13,9
83,14,9
83,15,8
83,16,9
83,17,9
83,18,10
83,31,7
83,32,19
83,33,21
83,34,21
83,35,20
83,36,21
83,37,19
83,38,20
83,39,21
83,40,4
83,44,12
83,45,15
83,46,15
83,47,12
83,48,12
83,49,15
83,50,11
83,51,9
83,82,10
83,83,9
84,0,12
84,1,9
84,7,13
84,8,12
84,9,10
84,11,8
84,12,7
84,13,8
84,14,8
84,15,8
84,16,8
84,17,8
84,18,8
84,26,20
84,27,20
84,28,12
84,34,7
84,35,5
84,36,20
84,37,20
84,38,20
84,39,20
84,44,10
84,45,16
84,46,14
84,47,11
84,48,8
84,49,8
84,50,9
84,51,8
84,82,11
84,83,7
85,0,13
85,1,10
85,8,16
85,9,9
85,11,5
85,12,5
85,13,8
85,14,8
85,15,7
85,24,14
85,25,16
85,26,13
85,27,12
85,28,12
85,29,11
85,38,4
85,39,5
85,44,13
85,45,15
85,46,15
85,47,10
85,51,7
85,82,11
85,83,9
86,0,13
86,1,9
86,2,15
86,3,14
86,9,8
86,24,12
86,25,16
86,26,9
86,33,5
86,34,9
86,44,16
86,45,15
86,46,11
86,82,9
86,83,8
87,0,12
87,1,10
87,2,15
87,3,15
87,4,14
87,9,9
87,10,9
87,17,4
87,32,5
87,33,7
87,34,12
87,35,9
87,44,16
87,45,15
87,46,11
87,47,11
87,48,9
87,49,10
87,52,11
87,82,9
87,83,7
88,0,15
88,3,10
88,4,12
88,5,10
88,6,9
88,12,10
88,14,9
88,15,11
88,16,13
88,17,13
88,28,10
88,29,10
88,30,10
88,32,5
88,33,7
88,34,8
88,35,9
88,46,10
88,47,12
88,48,9
88,49,10
88,52,10
88,82,9
88,83,8
89,4,11
89,5,9
89,6,10
89,7,5
89,12,11
89,13,11
89,14,12
89,15,10
89,16,11
89,17,12
89,25,11
89,26,12
89,27,11
89,28,12
89,29,10
89,30,12
89,33,4
89,34,7
89,35,7
89,52,9
89,82,10
89,83,10
90,4,9
90,5,14
90,6,14
90,7,12
90,8,8
90,13,12
90,23,7
90,24,11
90,25,12
90,26,12
90,27,9
90,28,9
90,29,11
90,30,11
90,33,10
90,34,11
90,35,5
90,82,11
90,83,12
91,0,10
91,2,13
91,3,10
91,4,12
91,5,14
91,6,13
91,7,9
91,18,10
91,19,13
91,20,13
91,21,7
91,22,10
91,23,10
91,24,11
91,25,8
91,26,8
91,28,11
91,29,12
91,30,11
91,33,11
91,34,12
91,51,8
91,82,10
91,83,13
92,0,11
92,1,12
92,2,12
92,3,10
92,4,12
92,18,11
92,19,14
92,20,13
92,21,9
92,22,8
92,23,8
92,28,12
92,29,12
92,32,5
92,33,11
92,34,11
92,51,9
92,52,9
92,53,9
92,54,9
92,55,10
92,56,10
92,82,9
92,83,12
93,0,4
93,1,11
93,2,11
93,18,9
93,19,12
93,20,12
93,21,9
93,27,11
93,28,11
93,29,12
93,32,18
93,33,12
93,34,12
93,43,12
93,44,12
93,45,9
93,46,7
93,47,5
93,48,4
93,54,10
93,55,10
93,56,8
93,82,11
93,83,11
94,19,10
94,20,13
94,21,11
94,27,11
94,28,12
94,29,12
94,32,17
94,33,12
94,34,7
94,43,8
94,44,10
94,45,8
94,46,9
94,47,7
94,48,7
94,49,9
94,50,9
94,82,12
94,83,11
95,19,11
95,20,13
95,21,10
95,27,8
95,28,8
95,31,4
95,32,10
95,33,9
95,34,4
95,43,11
95,44,10
95,45,9
95,46,10
95,47,9
95,48,8
95,49,8
95,50,9
95,58,4
95,59,4
95,82,11
95,83,8
96,8,12
96,9,10
96,10,11
96,11,13
96,12,13
96,14,17
96,15,16
96,19,11
96,20,15
96,21,11
96,25,9
96,26,11
96,27,12
96,47,9
96,48,9
96,49,9
96,50,9
96,51,9
96,52,9
96,56,5
96,57,4
96,58,7
96,59,7
96,82,9
96,83,4
97,7,10
97,8,12
97,9,12
97,10,12
97,11,13
97,12,13
97,13,17
97,14,18
97,15,15
97,16,13
97,17,13
97,20,10
97,21,11
97,22,7
97,24,4
97,25,8
97,26,12
97,27,10
97,37,8
97,38,8
97,50,10
97,51,10
97,52,9
97,53,10
97,54,12
97,55,12
97,56,11
97,57,7
