x,y,height
0,54,7
0,55,10
0,58,9
0,59,9
0,79,7
0,80,5
0,85,7
0,86,7
0,87,7
0,91,7
0,100,8
0,101,8
0,102,7
0,126,9
1,55,8
1,59,10
1,73,4
1,74,4
1,80,7
1,84,4
1,85,9
1,86,9
1,105,8
1,123,9
1,126,8
2,55,7
2,59,11
2,73,4
2,74,9
2,75,9
2,80,9
2,81,9
2,87,7
2,91,4
2,92,7
2,93,8
2,94,8
2,95,4
2,96,8
2,97,8
2,98,4
2,102,7
2,103,8
2,104,9
2,105,8
2,123,4
2,124,9
2,125,8
2,126,8
2,127,7
3,55,7
3,59,9
3,74,9
3,75,9
3,85,4
3,86,9
3,87,8
3,90,7
3,91,8
3,92,9
3,93,8
3,97,9
3,124,7
3,125,8
3,127,7
4,55,7
4,60,11
4,74,5
4,76,4
4,81,8
4,82,9
4,86,10
4,87,9
4,90,4
4,99,11
4,100,8
4,106,8
4,124,5
4,125,8
5,0,7
5,1,5
5,55,7
5,56,8
5,57,10
5,60,10
5,76,10
5,77,7
5,80,8
5,81,4
5,82,7
5,86,7
5,87,9
5,88,8
5,95,4
5,96,4
5,99,7
5,100,12
5,101,9
5,104,7
5,105,7
5,106,9
5,125,8
5,126,8
6,0,7
6,1,9
6,49,7
6,50,8
6,55,7
6,56,8
6,57,10
6,60,11
6,61,4
6,76,11
6,77,7
6,81,5
6,82,7
6,83,9
6,86,4
6,87,10
6,88,8
6,92,4
6,93,8
6,94,9
6,95,8
6,100,9
6,101,11
6,102,9
6,105,8
6,109,4
6,126,8
7,1,5
7,2,8
7,76,4
7,77,8
7,82,7
7,83,8
7,87,7
7,88,10
7,91,7
7,93,8
7,100,7
7,101,12
7,102,12
7,107,9
7,108,9
7,115,5
7,116,4
7,126,7
7,127,8
8,1,8
8,2,9
8,3,4
8,57,8
8,58,8
8,61,9
8,76,7
8,77,4
8,87,4
8,88,9
8,89,4
8,100,7
8,101,11
8,102,12
8,103,8
8,106,7
8,107,7
8,115,5
8,116,4
8,126,8
8,127,8
9,0,4
9,2,8
9,3,8
9,50,7
9,51,8
9,57,8
9,58,5
9,61,10
9,76,10
9,77,8
9,82,9
9,83,9
9,88,10
9,89,9
9,98,7
9,99,9
9,100,8
9,106,8
9,110,5
9,115,5
9,116,5
10,0,5
10,51,9
10,52,12
10,57,4
10,58,5
10,76,10
10,77,7
10,82,8
10,83,9
10,88,10
10,89,9
10,95,8
10,96,9
10,98,9
10,99,8
10,103,11
10,104,11
10,108,8
10,109,8
11,57,9
11,75,8
11,76,8
11,77,4
11,88,10
11,89,7
11,92,9
11,93,7
11,94,9
11,99,8
11,100,11
11,101,9
11,102,11
11,103,12
11,107,9
11,108,8
12,57,9
12,58,4
12,61,7
12,75,9
12,76,8
12,77,4
12,88,9
12,89,10
12,98,7
12,99,7
12,100,8
12,101,8
12,102,7
12,103,10
12,104,11
12,111,4
13,57,8
13,58,10
13,77,4
13,78,4
13,82,4
13,83,7
13,84,7
13,88,9
13,89,9
13,103,11
13,104,12
13,109,8
13,110,8
13,111,8
14,57,9
14,58,10
14,62,4
14,83,7
14,84,7
14,89,4
14,90,4
14,95,9
14,96,4
14,104,9
14,105,12
14,109,8
15,58,11
15,59,10
15,62,8
15,77,8
15,78,4
15,89,7
15,90,8
15,94,4
15,95,11
15,96,8
15,104,8
15,105,10
15,106,8
15,113,7
16,58,11
16,59,11
16,76,4
16,77,9
16,78,5
16,89,4
16,90,11
16,91,4
16,94,4
16,95,9
16,96,7
16,105,11
16,106,9
16,109,7
16,111,8
16,112,9
17,59,12
17,60,10
17,63,5
17,78,7
17,79,7
17,90,11
17,91,8
17,105,9
17,106,11
18,59,4
18,60,12
18,64,7
18,78,12
18,79,10
18,80,5
18,85,11
18,86,11
18,90,11
18,91,8
18,98,4
18,99,4
18,100,4
18,106,11
18,107,10
19,11,8
19,12,4
19,60,13
19,61,4
19,64,8
19,78,12
19,79,9
19,80,7
19,85,10
19,86,9
19,90,7
19,91,7
19,96,8
19,97,9
19,98,8
19,99,8
19,100,9
19,103,4
19,104,7
19,106,11
19,107,9
19,112,4
19,114,5
19,115,5
20,11,9
20,12,7
20,60,12
20,61,10
20,64,4
20,103,4
20,104,5
20,107,7
20,110,4
20,111,4
20,112,6
20,113,5
20,114,5
20,115,5
21,12,8
21,60,15
21,61,14
21,65,12
21,66,4
21,79,7
21,80,7
21,101,8
21,102,9
21,103,8
21,111,5
21,112,5
22,8,7
22,9,8
22,12,7
22,13,9
22,61,12
22,62,7
22,65,12
22,66,4
22,78,4
22,79,8
22,80,8
22,86,7
22,87,4
22,99,7
22,100,9
22,101,9
22,114,5
22,115,5
23,8,4
23,9,9
23,13,9
23,14,5
23,61,12
23,62,10
23,65,7
23,78,7
23,79,10
23,80,9
23,86,7
23,87,7
23,113,7
23,114,6
24,9,4
24,10,5
24,13,7
24,14,8
24,61,9
24,62,9
24,66,8
24,79,7
24,80,8
24,81,7
24,86,8
24,87,8
24,108,9
24,109,7
25,10,11
25,11,9
25,14,7
25,66,7
25,79,5
25,80,10
25,81,10
25,87,8
25,88,8
25,89,4
25,101,4
25,103,9
25,104,8
25,105,8
25,106,4
25,108,8
25,109,4
25,110,5
25,111,11
25,112,8
25,118,5
26,10,11
26,11,11
26,14,8
26,15,9
26,63,7
26,80,7
26,81,9
26,82,4
26,87,13
26,88,12
26,89,7
26,90,11
26,100,9
26,101,9
26,102,7
26,103,7
26,104,4
26,109,7
26,110,7
26,111,12
26,112,10
26,113,4
26,115,7
26,116,7
26,117,9
26,118,7
27,11,7
27,12,4
27,15,7
27,63,9
27,64,5
27,67,4
27,68,4
27,82,4
27,87,17
27,88,11
27,89,8
27,90,12
27,97,12
27,98,9
27,99,4
27,110,7
27,111,11
27,112,12
27,113,7
28,15,8
28,22,4
28,23,4
28,64,9
28,65,4
28,67,9
28,68,7
28,87,17
28,88,8
28,89,5
28,90,7
28,97,12
28,98,10
28,99,4
28,110,7
28,111,8
28,112,11
28,113,11
28,120,4
29,12,5
29,15,9
29,16,9
29,21,8
29,22,9
29,23,4
29,65,8
29,68,9
29,82,4
29,83,4
29,87,8
29,88,7
29,98,8
29,104,4
29,105,4
29,106,7
29,107,5
29,119,4
30,9,4
30,12,9
30,13,12
30,15,9
30,16,9
30,21,7
30,22,10
30,23,4
30,65,9
30,68,9
30,69,4
30,83,9
30,84,7
30,88,4
30,101,4
30,102,7
30,103,5
30,104,4
30,107,7
30,113,8
30,114,10
30,115,5
30,119,5
30,120,5
31,9,7
31,13,12
31,16,9
31,21,5
31,22,7
31,23,7
31,66,9
31,68,8
31,69,4
31,83,11
31,84,9
31,93,4
31,94,8
31,95,7
