x,y,height
0,86,4
0,87,4
0,88,16
0,89,14
0,90,4
0,123,10
0,124,9
0,127,4
1,87,7
1,88,15
1,89,15
1,123,14
1,124,12
1,125,5
1,127,8
2,89,7
2,124,11
2,125,8
2,127,10
3,120,7
3,121,7
3,124,10
3,125,8
3,127,10
4,120,7
4,121,7
4,125,4
5,89,7
5,125,8
5,126,8
5,127,8
6,86,8
6,87,8
6,121,9
6,126,7
6,127,8
7,63,4
7,64,9
7,86,8
7,87,9
7,88,8
7,98,4
7,99,4
7,100,4
7,125,9
8,62,4
8,63,9
8,64,11
8,85,8
8,86,8
8,87,8
8,88,9
8,98,6
8,99,4
8,100,5
8,101,4
8,122,8
8,125,11
9,87,9
9,88,8
9,89,9
9,90,4
9,98,5
9,99,5
9,100,4
9,101,4
9,122,8
9,125,12
10,71,5
10,87,4
10,88,7
10,89,8
10,90,9
10,91,4
10,122,8
10,125,11
10,126,12
11,71,9
11,72,5
11,73,5
11,88,4
11,89,7
11,90,8
11,91,7
11,125,4
11,126,11
11,127,5
12,72,6
12,73,5
12,90,4
12,126,7
12,127,8
13,72,5
13,73,5
13,86,8
13,87,11
13,88,7
13,127,5
14,86,10
14,87,11
14,88,13
14,89,11
14,90,7
15,86,7
15,87,13
15,88,13
15,89,36
15,90,36
15,91,7
15,126,5
15,127,9
16,87,9
16,88,36
16,89,36
16,90,7
16,126,8
16,127,11
17,87,4
17,88,7
17,89,9
17,126,9
17,127,9
18,89,7
18,90,7
18,126,4
19,89,4
19,90,4
19,91,7
19,92,4
20,89,12
20,90,12
20,91,11
20,92,7
21,88,11
21,89,11
21,90,10
21,91,8
21,92,7
22,89,7
22,90,9
22,91,9
22,92,8
23,90,7
23,91,8
23,92,7
23,121,7
25,121,4
26,122,7
27,121,8
27,122,9
29,123,9
30,123,8
53,127,4
61,39,7
68,77,4
82,46,8
87,48,4
88,48,7
110,39,4
110,40,5
112,29,5
113,29,4
113,41,5
114,29,6
114,30,4
114,31,5
114,39,5
114,40,6
115,30,5
