x,y,height
0,0,26
0,4,22
0,5,20
0,9,20
0,10,21
0,11,21
0,12,24
0,25,13
0,26,15
0,27,16
0,28,9
0,52,12
0,53,5
0,74,8
0,77,8
0,90,9
0,91,8
0,107,8
0,108,7
0,111,10
0,112,10
0,113,7
0,114,9
0,115,10
0,116,12
0,117,11
0,120,10
0,121,14
0,122,13
0,123,10
0,125,12
0,126,21
0,127,21
1,0,25
1,1,26
1,2,25
1,7,23
1,11,22
1,12,20
1,24,8
1,25,15
1,26,15
1,27,20
1,52,12
1,53,9
1,54,7
1,55,7
1,73,6
1,74,8
1,76,9
1,77,9
1,88,7
1,89,8
1,91,9
1,92,8
1,111,10
1,112,10
1,115,11
1,116,11
1,117,11
1,121,10
1,122,14
1,124,16
1,125,18
1,126,20
1,127,21
2,1,26
2,2,26
2,3,26
2,6,26
2,7,26
2,8,25
2,25,4
2,51,12
2,52,11
2,53,8
2,54,8
2,55,8
2,56,7
2,72,7
2,73,8
2,76,9
2,87,4
2,88,9
2,89,7
2,110,10
2,111,11
2,119,13
2,124,19
2,125,19
2,126,19
3,2,24
3,7,25
3,8,28
3,9,27
3,50,11
3,51,12
3,52,4
3,53,8
3,54,9
3,55,9
3,56,7
3,72,8
3,73,8
3,89,8
3,90,7
3,93,4
3,94,4
3,110,11
3,111,11
3,118,10
3,119,15
3,120,17
3,124,19
3,126,13
4,4,27
4,5,27
4,8,28
4,9,28
4,22,5
4,24,7
4,25,13
4,26,16
4,27,15
4,49,12
4,50,12
4,51,11
4,52,8
4,53,7
4,54,8
4,55,8
4,56,7
4,71,7
4,72,8
4,74,8
4,75,9
4,90,7
4,93,7
4,94,7
4,110,11
4,111,10
4,113,7
4,114,12
4,115,10
4,118,11
4,119,12
4,120,26
4,122,8
5,4,27
5,5,27
5,6,27
5,7,27
5,8,27
5,9,26
5,12,19
5,13,17
5,21,14
5,22,11
5,23,7
5,24,12
5,25,15
5,26,16
5,27,16
5,48,10
5,49,12
5,50,12
5,51,9
5,52,9
5,53,8
5,54,8
5,55,9
5,71,7
5,75,7
5,90,8
5,94,4
5,110,8
5,111,9
5,113,8
5,114,12
5,117,11
5,118,11
5,119,7
5,122,18
5,123,19
6,5,25
6,6,27
6,7,26
6,8,25
6,11,18
6,12,21
6,13,22
6,20,14
6,21,16
6,22,14
6,23,8
6,24,18
6,25,18
6,26,15
6,27,14
6,28,4
6,48,11
6,49,12
6,50,11
6,51,10
6,52,9
6,53,9
6,54,10
6,55,9
6,71,7
6,74,8
